Machine = 10,Job = 5,Task = 60,Ant = 25,
Sedai , Best , Bad , Average 
0 , 141.0 , 184.0 , 159.28 , 
1 , 138.0 , 178.0 , 158.92 , 
2 , 131.0 , 179.0 , 155.48 , 
3 , 140.0 , 179.0 , 159.36 , 
4 , 132.0 , 190.0 , 155.4 , 
5 , 139.0 , 188.0 , 160.04 , 
6 , 142.0 , 194.0 , 160.08 , 
7 , 143.0 , 192.0 , 162.44 , 
8 , 142.0 , 177.0 , 157.52 , 
9 , 133.0 , 184.0 , 154.88 , 
10 , 140.0 , 189.0 , 158.12 , 
11 , 136.0 , 170.0 , 154.8 , 
12 , 136.0 , 178.0 , 158.08 , 
13 , 135.0 , 170.0 , 153.92 , 
14 , 137.0 , 184.0 , 161.8 , 
15 , 135.0 , 187.0 , 158.32 , 
16 , 136.0 , 180.0 , 157.2 , 
17 , 135.0 , 186.0 , 155.76 , 
18 , 137.0 , 183.0 , 155.44 , 
19 , 129.0 , 176.0 , 153.16 , 
20 , 137.0 , 193.0 , 160.48 , 
21 , 136.0 , 176.0 , 154.6 , 
22 , 122.0 , 183.0 , 155.52 , 
23 , 129.0 , 178.0 , 152.76 , 
24 , 139.0 , 183.0 , 160.28 , 
25 , 140.0 , 174.0 , 157.44 , 
26 , 123.0 , 199.0 , 155.64 , 
27 , 138.0 , 187.0 , 157.24 , 
28 , 124.0 , 182.0 , 155.0 , 
29 , 136.0 , 187.0 , 156.6 , 
30 , 130.0 , 191.0 , 158.16 , 
31 , 123.0 , 175.0 , 154.8 , 
32 , 128.0 , 183.0 , 154.16 , 
33 , 135.0 , 184.0 , 153.08 , 
34 , 130.0 , 175.0 , 154.4 , 
35 , 132.0 , 185.0 , 157.4 , 
36 , 132.0 , 180.0 , 154.24 , 
37 , 134.0 , 174.0 , 157.12 , 
38 , 137.0 , 210.0 , 161.68 , 
39 , 135.0 , 183.0 , 157.32 , 
40 , 132.0 , 185.0 , 155.32 , 
41 , 131.0 , 176.0 , 154.96 , 
42 , 139.0 , 184.0 , 155.04 , 
43 , 134.0 , 184.0 , 153.72 , 
44 , 125.0 , 178.0 , 156.32 , 
45 , 131.0 , 177.0 , 156.08 , 
46 , 132.0 , 189.0 , 155.32 , 
47 , 129.0 , 182.0 , 156.2 , 
48 , 132.0 , 174.0 , 156.12 , 
49 , 129.0 , 178.0 , 155.0 , 
50 , 126.0 , 183.0 , 153.16 , 
51 , 132.0 , 193.0 , 154.88 , 
52 , 123.0 , 182.0 , 155.32 , 
53 , 135.0 , 176.0 , 156.08 , 
54 , 138.0 , 196.0 , 159.24 , 
55 , 132.0 , 185.0 , 153.68 , 
56 , 127.0 , 172.0 , 152.8 , 
57 , 133.0 , 178.0 , 156.0 , 
58 , 132.0 , 184.0 , 156.48 , 
59 , 137.0 , 182.0 , 156.4 , 
60 , 134.0 , 179.0 , 153.64 , 
61 , 126.0 , 179.0 , 152.08 , 
62 , 126.0 , 189.0 , 154.84 , 
63 , 131.0 , 197.0 , 156.92 , 
64 , 132.0 , 191.0 , 158.84 , 
65 , 135.0 , 179.0 , 154.96 , 
66 , 133.0 , 175.0 , 152.2 , 
67 , 137.0 , 177.0 , 155.24 , 
68 , 122.0 , 169.0 , 150.8 , 
69 , 130.0 , 173.0 , 155.76 , 
70 , 131.0 , 177.0 , 157.24 , 
71 , 128.0 , 179.0 , 154.28 , 
72 , 124.0 , 190.0 , 156.64 , 
73 , 135.0 , 176.0 , 155.56 , 
74 , 132.0 , 169.0 , 151.68 , 
75 , 122.0 , 170.0 , 151.84 , 
76 , 131.0 , 185.0 , 152.12 , 
77 , 139.0 , 186.0 , 160.08 , 
78 , 127.0 , 169.0 , 153.32 , 
79 , 127.0 , 175.0 , 152.84 , 
80 , 120.0 , 184.0 , 157.28 , 
81 , 137.0 , 174.0 , 157.48 , 
82 , 135.0 , 184.0 , 156.72 , 
83 , 144.0 , 190.0 , 161.48 , 
84 , 130.0 , 180.0 , 152.48 , 
85 , 122.0 , 185.0 , 156.08 , 
86 , 132.0 , 178.0 , 154.4 , 
87 , 131.0 , 183.0 , 154.84 , 
88 , 118.0 , 177.0 , 154.28 , 
89 , 133.0 , 178.0 , 152.4 , 
90 , 135.0 , 182.0 , 154.68 , 
91 , 129.0 , 179.0 , 153.12 , 
92 , 133.0 , 185.0 , 154.2 , 
93 , 131.0 , 179.0 , 153.72 , 
94 , 130.0 , 169.0 , 153.56 , 
95 , 125.0 , 182.0 , 153.56 , 
96 , 131.0 , 172.0 , 153.4 , 
97 , 135.0 , 198.0 , 158.04 , 
98 , 128.0 , 174.0 , 151.48 , 
99 , 134.0 , 184.0 , 155.0 , 
100 , 130.0 , 180.0 , 155.0 , 
101 , 124.0 , 184.0 , 154.48 , 
102 , 133.0 , 177.0 , 155.64 , 
103 , 141.0 , 173.0 , 153.24 , 
104 , 132.0 , 179.0 , 152.8 , 
105 , 132.0 , 186.0 , 156.2 , 
106 , 140.0 , 181.0 , 157.6 , 
107 , 134.0 , 181.0 , 155.76 , 
108 , 128.0 , 190.0 , 154.84 , 
109 , 139.0 , 168.0 , 152.16 , 
110 , 122.0 , 189.0 , 155.6 , 
111 , 136.0 , 184.0 , 154.56 , 
112 , 139.0 , 176.0 , 152.8 , 
113 , 127.0 , 171.0 , 151.52 , 
114 , 140.0 , 185.0 , 156.36 , 
115 , 128.0 , 183.0 , 153.28 , 
116 , 141.0 , 180.0 , 153.0 , 
117 , 132.0 , 184.0 , 155.44 , 
118 , 133.0 , 176.0 , 153.76 , 
119 , 133.0 , 168.0 , 148.04 , 
120 , 133.0 , 181.0 , 155.36 , 
121 , 131.0 , 192.0 , 157.32 , 
122 , 132.0 , 185.0 , 152.64 , 
123 , 134.0 , 198.0 , 155.24 , 
124 , 132.0 , 183.0 , 150.24 , 
125 , 124.0 , 189.0 , 155.92 , 
126 , 131.0 , 177.0 , 153.64 , 
127 , 136.0 , 181.0 , 154.32 , 
128 , 132.0 , 175.0 , 153.04 , 
129 , 136.0 , 181.0 , 155.64 , 
130 , 134.0 , 179.0 , 152.44 , 
131 , 129.0 , 176.0 , 154.64 , 
132 , 134.0 , 181.0 , 152.84 , 
133 , 131.0 , 187.0 , 151.16 , 
134 , 123.0 , 194.0 , 156.44 , 
135 , 139.0 , 176.0 , 154.16 , 
136 , 138.0 , 163.0 , 151.56 , 
137 , 133.0 , 204.0 , 154.68 , 
138 , 134.0 , 188.0 , 155.48 , 
139 , 128.0 , 178.0 , 148.56 , 
140 , 139.0 , 192.0 , 160.08 , 
141 , 130.0 , 180.0 , 154.64 , 
142 , 121.0 , 175.0 , 151.08 , 
143 , 127.0 , 170.0 , 151.4 , 
144 , 124.0 , 181.0 , 154.6 , 
145 , 137.0 , 184.0 , 158.48 , 
146 , 135.0 , 174.0 , 154.56 , 
147 , 119.0 , 180.0 , 153.92 , 
148 , 127.0 , 189.0 , 152.76 , 
149 , 128.0 , 187.0 , 155.04 , 
150 , 132.0 , 166.0 , 152.08 , 
151 , 131.0 , 185.0 , 151.0 , 
152 , 131.0 , 175.0 , 153.32 , 
153 , 134.0 , 181.0 , 154.0 , 
154 , 132.0 , 177.0 , 153.8 , 
155 , 135.0 , 173.0 , 151.84 , 
156 , 126.0 , 178.0 , 155.44 , 
157 , 127.0 , 176.0 , 153.32 , 
158 , 129.0 , 186.0 , 154.24 , 
159 , 128.0 , 172.0 , 152.36 , 
160 , 129.0 , 165.0 , 152.52 , 
161 , 130.0 , 186.0 , 156.16 , 
162 , 126.0 , 181.0 , 150.28 , 
163 , 125.0 , 190.0 , 154.84 , 
164 , 127.0 , 181.0 , 148.04 , 
165 , 136.0 , 184.0 , 157.68 , 
166 , 138.0 , 174.0 , 154.4 , 
167 , 128.0 , 175.0 , 152.24 , 
168 , 134.0 , 173.0 , 156.16 , 
169 , 124.0 , 176.0 , 155.52 , 
170 , 126.0 , 170.0 , 150.96 , 
171 , 127.0 , 180.0 , 152.0 , 
172 , 134.0 , 180.0 , 153.68 , 
173 , 135.0 , 183.0 , 156.32 , 
174 , 128.0 , 167.0 , 150.04 , 
175 , 140.0 , 185.0 , 157.96 , 
176 , 132.0 , 170.0 , 150.08 , 
177 , 128.0 , 184.0 , 153.32 , 
178 , 131.0 , 173.0 , 148.88 , 
179 , 125.0 , 171.0 , 152.28 , 
180 , 140.0 , 184.0 , 156.04 , 
181 , 129.0 , 192.0 , 155.4 , 
182 , 125.0 , 182.0 , 151.24 , 
183 , 130.0 , 177.0 , 152.24 , 
184 , 135.0 , 179.0 , 153.44 , 
185 , 135.0 , 182.0 , 151.88 , 
186 , 123.0 , 180.0 , 151.4 , 
187 , 130.0 , 182.0 , 154.56 , 
188 , 133.0 , 184.0 , 152.52 , 
189 , 131.0 , 187.0 , 159.44 , 
190 , 134.0 , 190.0 , 154.36 , 
191 , 126.0 , 179.0 , 154.96 , 
192 , 134.0 , 181.0 , 153.28 , 
193 , 119.0 , 169.0 , 148.76 , 
194 , 136.0 , 185.0 , 151.88 , 
195 , 132.0 , 176.0 , 151.0 , 
196 , 125.0 , 163.0 , 147.6 , 
197 , 125.0 , 187.0 , 157.0 , 
198 , 132.0 , 171.0 , 152.56 , 
199 , 118.0 , 189.0 , 152.84 , 
200 , 127.0 , 169.0 , 152.0 , 
201 , 122.0 , 175.0 , 149.96 , 
202 , 120.0 , 171.0 , 149.96 , 
203 , 130.0 , 174.0 , 151.24 , 
204 , 130.0 , 170.0 , 151.88 , 
205 , 133.0 , 171.0 , 155.56 , 
206 , 136.0 , 177.0 , 151.36 , 
207 , 136.0 , 173.0 , 153.04 , 
208 , 139.0 , 170.0 , 153.64 , 
209 , 122.0 , 187.0 , 152.28 , 
210 , 130.0 , 174.0 , 152.36 , 
211 , 132.0 , 181.0 , 149.6 , 
212 , 130.0 , 171.0 , 151.96 , 
213 , 130.0 , 187.0 , 152.88 , 
214 , 120.0 , 186.0 , 148.24 , 
215 , 135.0 , 171.0 , 154.32 , 
216 , 125.0 , 187.0 , 150.2 , 
217 , 136.0 , 188.0 , 154.84 , 
218 , 129.0 , 177.0 , 155.08 , 
219 , 115.0 , 165.0 , 146.76 , 
220 , 140.0 , 176.0 , 158.0 , 
221 , 127.0 , 179.0 , 151.76 , 
222 , 132.0 , 177.0 , 158.08 , 
223 , 126.0 , 183.0 , 150.56 , 
224 , 140.0 , 183.0 , 154.04 , 
225 , 129.0 , 173.0 , 151.04 , 
226 , 123.0 , 169.0 , 151.12 , 
227 , 128.0 , 167.0 , 144.6 , 
228 , 128.0 , 174.0 , 152.64 , 
229 , 127.0 , 190.0 , 156.36 , 
230 , 122.0 , 167.0 , 153.44 , 
231 , 129.0 , 169.0 , 149.16 , 
232 , 131.0 , 187.0 , 155.52 , 
233 , 128.0 , 194.0 , 152.24 , 
234 , 127.0 , 178.0 , 151.88 , 
235 , 130.0 , 171.0 , 150.12 , 
236 , 125.0 , 177.0 , 148.04 , 
237 , 131.0 , 192.0 , 153.16 , 
238 , 125.0 , 183.0 , 152.32 , 
239 , 140.0 , 185.0 , 155.32 , 
240 , 135.0 , 175.0 , 152.84 , 
241 , 126.0 , 178.0 , 148.04 , 
242 , 139.0 , 177.0 , 155.4 , 
243 , 130.0 , 175.0 , 153.72 , 
244 , 128.0 , 174.0 , 148.64 , 
245 , 127.0 , 176.0 , 152.64 , 
246 , 126.0 , 169.0 , 148.64 , 
247 , 134.0 , 183.0 , 153.48 , 
248 , 128.0 , 175.0 , 152.84 , 
249 , 136.0 , 187.0 , 153.68 , 
250 , 129.0 , 181.0 , 154.24 , 
251 , 134.0 , 188.0 , 158.36 , 
252 , 134.0 , 169.0 , 151.32 , 
253 , 124.0 , 177.0 , 149.88 , 
254 , 119.0 , 195.0 , 150.44 , 
255 , 129.0 , 181.0 , 148.28 , 
256 , 136.0 , 192.0 , 152.8 , 
257 , 130.0 , 168.0 , 148.32 , 
258 , 124.0 , 172.0 , 149.96 , 
259 , 133.0 , 178.0 , 154.36 , 
260 , 138.0 , 175.0 , 153.64 , 
261 , 126.0 , 175.0 , 152.16 , 
262 , 120.0 , 177.0 , 155.16 , 
263 , 128.0 , 177.0 , 152.24 , 
264 , 121.0 , 180.0 , 153.0 , 
265 , 122.0 , 185.0 , 154.28 , 
266 , 129.0 , 171.0 , 151.2 , 
267 , 130.0 , 184.0 , 150.84 , 
268 , 140.0 , 173.0 , 152.52 , 
269 , 126.0 , 181.0 , 148.8 , 
270 , 123.0 , 166.0 , 149.68 , 
271 , 120.0 , 167.0 , 147.08 , 
272 , 134.0 , 183.0 , 155.36 , 
273 , 123.0 , 188.0 , 154.4 , 
274 , 119.0 , 183.0 , 148.24 , 
275 , 132.0 , 169.0 , 153.32 , 
276 , 132.0 , 189.0 , 154.52 , 
277 , 136.0 , 182.0 , 154.72 , 
278 , 137.0 , 190.0 , 154.44 , 
279 , 126.0 , 191.0 , 154.52 , 
280 , 129.0 , 171.0 , 153.6 , 
281 , 127.0 , 177.0 , 152.16 , 
282 , 132.0 , 174.0 , 150.0 , 
283 , 133.0 , 175.0 , 153.52 , 
284 , 130.0 , 178.0 , 151.64 , 
285 , 136.0 , 182.0 , 152.84 , 
286 , 117.0 , 178.0 , 152.08 , 
287 , 132.0 , 170.0 , 151.64 , 
288 , 124.0 , 183.0 , 151.88 , 
289 , 129.0 , 185.0 , 152.72 , 
290 , 135.0 , 190.0 , 154.32 , 
291 , 134.0 , 172.0 , 150.48 , 
292 , 134.0 , 183.0 , 154.88 , 
293 , 127.0 , 171.0 , 149.48 , 
294 , 126.0 , 175.0 , 149.4 , 
295 , 127.0 , 173.0 , 152.68 , 
296 , 126.0 , 191.0 , 150.2 , 
297 , 122.0 , 172.0 , 149.0 , 
298 , 129.0 , 172.0 , 152.68 , 
299 , 125.0 , 174.0 , 147.68 , 
300 , 130.0 , 185.0 , 154.04 , 
301 , 125.0 , 174.0 , 153.2 , 
302 , 126.0 , 186.0 , 152.92 , 
303 , 134.0 , 209.0 , 155.4 , 
304 , 132.0 , 181.0 , 155.64 , 
