Machine = 10,Job = 5,Task = 60,Ant = 50,
Sedai , Best , Bad , Average 
0 , 78.0 , 119.0 , 92.3 , 
1 , 75.0 , 119.0 , 92.66 , 
2 , 78.0 , 108.0 , 91.14 , 
3 , 74.0 , 106.0 , 90.02 , 
4 , 75.0 , 104.0 , 89.34 , 
5 , 71.0 , 105.0 , 89.52 , 
6 , 72.0 , 116.0 , 88.88 , 
7 , 72.0 , 108.0 , 89.42 , 
8 , 72.0 , 104.0 , 86.86 , 
9 , 67.0 , 102.0 , 88.12 , 
10 , 71.0 , 110.0 , 90.38 , 
11 , 70.0 , 110.0 , 86.52 , 
12 , 72.0 , 101.0 , 86.24 , 
13 , 69.0 , 107.0 , 87.54 , 
14 , 73.0 , 118.0 , 87.9 , 
15 , 70.0 , 110.0 , 87.58 , 
16 , 71.0 , 103.0 , 87.7 , 
17 , 72.0 , 105.0 , 88.4 , 
18 , 69.0 , 105.0 , 83.78 , 
19 , 74.0 , 108.0 , 86.24 , 
20 , 70.0 , 98.0 , 85.74 , 
21 , 67.0 , 106.0 , 86.92 , 
22 , 70.0 , 115.0 , 86.12 , 
23 , 72.0 , 105.0 , 87.12 , 
24 , 71.0 , 113.0 , 85.6 , 
25 , 74.0 , 110.0 , 88.42 , 
26 , 71.0 , 101.0 , 85.96 , 
27 , 73.0 , 105.0 , 86.08 , 
28 , 68.0 , 107.0 , 86.1 , 
29 , 63.0 , 100.0 , 83.88 , 
30 , 70.0 , 105.0 , 85.44 , 
31 , 67.0 , 95.0 , 83.36 , 
32 , 69.0 , 103.0 , 83.98 , 
33 , 71.0 , 108.0 , 84.74 , 
34 , 70.0 , 109.0 , 85.94 , 
35 , 66.0 , 111.0 , 85.08 , 
36 , 70.0 , 106.0 , 85.44 , 
37 , 71.0 , 111.0 , 84.5 , 
38 , 70.0 , 103.0 , 85.02 , 
39 , 69.0 , 105.0 , 85.78 , 
40 , 71.0 , 103.0 , 84.42 , 
41 , 66.0 , 112.0 , 85.46 , 
42 , 66.0 , 111.0 , 83.6 , 
43 , 72.0 , 105.0 , 85.62 , 
44 , 70.0 , 104.0 , 85.16 , 
45 , 67.0 , 102.0 , 84.52 , 
46 , 68.0 , 109.0 , 86.94 , 
47 , 72.0 , 104.0 , 85.72 , 
48 , 72.0 , 102.0 , 84.78 , 
49 , 72.0 , 99.0 , 86.74 , 
50 , 71.0 , 100.0 , 82.78 , 
51 , 67.0 , 110.0 , 84.92 , 
52 , 71.0 , 104.0 , 84.42 , 
53 , 64.0 , 107.0 , 84.86 , 
54 , 70.0 , 103.0 , 82.46 , 
55 , 69.0 , 105.0 , 84.16 , 
56 , 68.0 , 100.0 , 84.32 , 
57 , 68.0 , 100.0 , 82.98 , 
58 , 69.0 , 101.0 , 84.38 , 
59 , 67.0 , 107.0 , 84.54 , 
60 , 72.0 , 106.0 , 85.22 , 
61 , 67.0 , 104.0 , 83.88 , 
62 , 70.0 , 97.0 , 84.24 , 
63 , 74.0 , 103.0 , 86.4 , 
64 , 69.0 , 105.0 , 86.84 , 
65 , 72.0 , 114.0 , 86.02 , 
66 , 64.0 , 99.0 , 83.1 , 
67 , 67.0 , 100.0 , 82.4 , 
68 , 66.0 , 98.0 , 84.64 , 
69 , 66.0 , 106.0 , 84.12 , 
70 , 64.0 , 110.0 , 84.5 , 
71 , 65.0 , 105.0 , 83.98 , 
72 , 70.0 , 106.0 , 83.24 , 
73 , 68.0 , 105.0 , 84.96 , 
74 , 68.0 , 105.0 , 83.64 , 
75 , 67.0 , 102.0 , 84.06 , 
76 , 64.0 , 102.0 , 82.3 , 
77 , 66.0 , 109.0 , 85.8 , 
78 , 66.0 , 99.0 , 81.06 , 
79 , 67.0 , 104.0 , 83.4 , 
80 , 69.0 , 105.0 , 83.16 , 
81 , 65.0 , 108.0 , 83.28 , 
82 , 70.0 , 103.0 , 82.4 , 
83 , 67.0 , 104.0 , 84.38 , 
84 , 69.0 , 99.0 , 82.7 , 
85 , 69.0 , 103.0 , 85.7 , 
86 , 65.0 , 110.0 , 83.16 , 
87 , 68.0 , 116.0 , 83.48 , 
88 , 69.0 , 102.0 , 82.46 , 
89 , 64.0 , 98.0 , 82.9 , 
90 , 65.0 , 100.0 , 82.88 , 
91 , 70.0 , 100.0 , 83.74 , 
92 , 64.0 , 103.0 , 83.08 , 
93 , 67.0 , 97.0 , 81.26 , 
94 , 60.0 , 99.0 , 80.24 , 
95 , 69.0 , 105.0 , 84.12 , 
96 , 65.0 , 105.0 , 83.94 , 
97 , 65.0 , 99.0 , 84.34 , 
98 , 65.0 , 109.0 , 84.3 , 
99 , 65.0 , 103.0 , 84.42 , 
100 , 70.0 , 106.0 , 84.56 , 
101 , 70.0 , 102.0 , 82.98 , 
102 , 59.0 , 99.0 , 82.5 , 
103 , 69.0 , 105.0 , 84.24 , 
104 , 69.0 , 103.0 , 83.42 , 
105 , 66.0 , 102.0 , 83.38 , 
106 , 69.0 , 99.0 , 82.36 , 
107 , 68.0 , 101.0 , 82.16 , 
108 , 70.0 , 108.0 , 82.72 , 
109 , 66.0 , 111.0 , 83.84 , 
110 , 65.0 , 102.0 , 83.08 , 
111 , 65.0 , 106.0 , 82.84 , 
112 , 65.0 , 98.0 , 81.74 , 
113 , 68.0 , 110.0 , 82.4 , 
114 , 70.0 , 100.0 , 84.06 , 
115 , 70.0 , 97.0 , 81.58 , 
116 , 68.0 , 102.0 , 82.72 , 
117 , 68.0 , 101.0 , 82.96 , 
118 , 70.0 , 102.0 , 85.28 , 
119 , 66.0 , 105.0 , 83.78 , 
120 , 71.0 , 104.0 , 82.68 , 
121 , 66.0 , 101.0 , 81.44 , 
122 , 72.0 , 100.0 , 84.16 , 
123 , 68.0 , 97.0 , 82.94 , 
124 , 66.0 , 104.0 , 82.14 , 
125 , 60.0 , 103.0 , 81.98 , 
126 , 63.0 , 102.0 , 81.54 , 
127 , 66.0 , 99.0 , 81.26 , 
128 , 62.0 , 101.0 , 82.06 , 
129 , 66.0 , 99.0 , 81.98 , 
130 , 67.0 , 104.0 , 82.38 , 
131 , 67.0 , 107.0 , 81.5 , 
132 , 65.0 , 101.0 , 81.14 , 
133 , 66.0 , 102.0 , 83.12 , 
134 , 66.0 , 100.0 , 81.66 , 
135 , 68.0 , 99.0 , 82.2 , 
136 , 70.0 , 103.0 , 82.3 , 
137 , 67.0 , 101.0 , 80.6 , 
138 , 66.0 , 109.0 , 82.82 , 
139 , 65.0 , 105.0 , 82.86 , 
140 , 65.0 , 109.0 , 82.72 , 
141 , 68.0 , 105.0 , 83.5 , 
142 , 63.0 , 98.0 , 83.76 , 
143 , 67.0 , 104.0 , 81.3 , 
144 , 70.0 , 108.0 , 83.4 , 
145 , 63.0 , 100.0 , 81.98 , 
146 , 68.0 , 101.0 , 82.0 , 
147 , 68.0 , 101.0 , 81.98 , 
148 , 62.0 , 101.0 , 83.14 , 
149 , 69.0 , 96.0 , 81.98 , 
150 , 66.0 , 98.0 , 81.28 , 
151 , 65.0 , 99.0 , 83.4 , 
152 , 66.0 , 96.0 , 83.18 , 
