Machine = 10,Job = 5,Task = 60,Ant = 50,
Sedai , Best , Bad , Average 
0 , 129.0 , 183.0 , 156.66 , 
1 , 132.0 , 180.0 , 156.48 , 
2 , 131.0 , 179.0 , 155.88 , 
3 , 116.0 , 192.0 , 157.5 , 
4 , 131.0 , 187.0 , 155.38 , 
5 , 133.0 , 185.0 , 156.5 , 
6 , 135.0 , 185.0 , 157.38 , 
7 , 136.0 , 197.0 , 156.52 , 
8 , 131.0 , 185.0 , 156.32 , 
9 , 130.0 , 180.0 , 156.98 , 
10 , 127.0 , 193.0 , 154.86 , 
11 , 141.0 , 179.0 , 158.16 , 
12 , 128.0 , 197.0 , 153.9 , 
13 , 133.0 , 181.0 , 156.48 , 
14 , 127.0 , 189.0 , 152.8 , 
15 , 131.0 , 185.0 , 157.32 , 
16 , 125.0 , 191.0 , 152.88 , 
17 , 133.0 , 184.0 , 153.84 , 
18 , 136.0 , 187.0 , 157.76 , 
19 , 128.0 , 183.0 , 154.26 , 
20 , 133.0 , 179.0 , 151.92 , 
21 , 128.0 , 190.0 , 156.56 , 
22 , 117.0 , 182.0 , 155.4 , 
23 , 134.0 , 181.0 , 155.4 , 
24 , 123.0 , 181.0 , 154.56 , 
25 , 128.0 , 184.0 , 154.82 , 
26 , 130.0 , 188.0 , 157.74 , 
27 , 129.0 , 184.0 , 155.3 , 
28 , 136.0 , 180.0 , 154.52 , 
29 , 132.0 , 192.0 , 153.6 , 
30 , 125.0 , 184.0 , 156.9 , 
31 , 129.0 , 178.0 , 151.88 , 
32 , 132.0 , 184.0 , 154.52 , 
33 , 130.0 , 180.0 , 155.28 , 
34 , 129.0 , 183.0 , 154.54 , 
35 , 131.0 , 185.0 , 155.4 , 
36 , 133.0 , 204.0 , 156.34 , 
37 , 133.0 , 178.0 , 157.5 , 
38 , 137.0 , 176.0 , 156.86 , 
39 , 132.0 , 194.0 , 155.32 , 
40 , 125.0 , 188.0 , 156.34 , 
41 , 130.0 , 181.0 , 157.56 , 
42 , 131.0 , 182.0 , 155.7 , 
43 , 134.0 , 190.0 , 158.24 , 
44 , 116.0 , 193.0 , 156.16 , 
45 , 130.0 , 183.0 , 158.08 , 
46 , 131.0 , 183.0 , 156.38 , 
47 , 132.0 , 181.0 , 155.16 , 
48 , 131.0 , 191.0 , 157.94 , 
49 , 135.0 , 190.0 , 156.5 , 
50 , 136.0 , 192.0 , 157.14 , 
51 , 137.0 , 183.0 , 154.68 , 
52 , 131.0 , 191.0 , 153.52 , 
53 , 132.0 , 196.0 , 156.76 , 
54 , 129.0 , 193.0 , 157.82 , 
55 , 135.0 , 192.0 , 153.9 , 
56 , 131.0 , 184.0 , 154.76 , 
57 , 129.0 , 177.0 , 155.0 , 
58 , 132.0 , 174.0 , 154.26 , 
59 , 134.0 , 197.0 , 155.94 , 
60 , 136.0 , 185.0 , 154.5 , 
61 , 129.0 , 181.0 , 152.66 , 
62 , 130.0 , 194.0 , 157.72 , 
63 , 126.0 , 182.0 , 156.1 , 
64 , 133.0 , 189.0 , 158.62 , 
65 , 137.0 , 185.0 , 155.48 , 
66 , 131.0 , 177.0 , 152.96 , 
67 , 132.0 , 181.0 , 156.86 , 
68 , 129.0 , 181.0 , 153.52 , 
69 , 135.0 , 185.0 , 156.46 , 
70 , 129.0 , 180.0 , 156.18 , 
71 , 124.0 , 176.0 , 153.26 , 
72 , 133.0 , 174.0 , 154.4 , 
73 , 131.0 , 184.0 , 157.06 , 
74 , 137.0 , 182.0 , 154.04 , 
75 , 138.0 , 189.0 , 156.72 , 
76 , 126.0 , 191.0 , 157.2 , 
77 , 128.0 , 178.0 , 155.74 , 
78 , 128.0 , 184.0 , 156.84 , 
79 , 128.0 , 190.0 , 157.84 , 
80 , 127.0 , 186.0 , 156.38 , 
81 , 133.0 , 180.0 , 156.04 , 
82 , 139.0 , 195.0 , 158.72 , 
83 , 118.0 , 184.0 , 155.84 , 
84 , 132.0 , 193.0 , 155.56 , 
85 , 131.0 , 185.0 , 155.76 , 
86 , 131.0 , 183.0 , 156.06 , 
87 , 134.0 , 181.0 , 156.86 , 
88 , 125.0 , 182.0 , 154.8 , 
89 , 141.0 , 194.0 , 157.28 , 
90 , 127.0 , 191.0 , 155.7 , 
91 , 136.0 , 181.0 , 155.72 , 
92 , 132.0 , 195.0 , 156.08 , 
93 , 124.0 , 191.0 , 152.3 , 
94 , 128.0 , 187.0 , 155.12 , 
95 , 128.0 , 180.0 , 155.24 , 
96 , 130.0 , 178.0 , 154.34 , 
97 , 132.0 , 179.0 , 156.64 , 
98 , 129.0 , 183.0 , 155.04 , 
99 , 125.0 , 183.0 , 155.24 , 
100 , 133.0 , 187.0 , 155.06 , 
101 , 128.0 , 182.0 , 153.98 , 
102 , 123.0 , 180.0 , 156.06 , 
103 , 124.0 , 173.0 , 151.1 , 
104 , 136.0 , 181.0 , 157.38 , 
105 , 132.0 , 205.0 , 154.52 , 
106 , 129.0 , 178.0 , 152.78 , 
107 , 129.0 , 178.0 , 154.26 , 
108 , 131.0 , 190.0 , 156.18 , 
109 , 137.0 , 181.0 , 156.32 , 
110 , 126.0 , 185.0 , 156.8 , 
111 , 136.0 , 186.0 , 156.26 , 
112 , 132.0 , 181.0 , 154.12 , 
113 , 130.0 , 181.0 , 153.8 , 
114 , 124.0 , 178.0 , 154.52 , 
115 , 128.0 , 182.0 , 152.28 , 
116 , 127.0 , 189.0 , 155.48 , 
117 , 129.0 , 180.0 , 153.52 , 
118 , 129.0 , 191.0 , 155.56 , 
119 , 133.0 , 192.0 , 156.2 , 
120 , 133.0 , 179.0 , 153.84 , 
121 , 132.0 , 184.0 , 154.5 , 
122 , 132.0 , 183.0 , 157.16 , 
123 , 127.0 , 200.0 , 157.18 , 
124 , 131.0 , 180.0 , 157.46 , 
125 , 128.0 , 176.0 , 152.22 , 
126 , 132.0 , 193.0 , 156.98 , 
127 , 125.0 , 199.0 , 153.54 , 
128 , 131.0 , 186.0 , 154.66 , 
129 , 128.0 , 191.0 , 155.12 , 
130 , 129.0 , 197.0 , 157.9 , 
131 , 137.0 , 181.0 , 157.78 , 
