Machine = 10,Job = 5,Task = 60,Ant = 50,
Sedai , Best , Bad , Average 
0 , 77.0 , 117.0 , 92.56 , 
1 , 80.0 , 115.0 , 93.08 , 
2 , 75.0 , 116.0 , 91.74 , 
3 , 77.0 , 111.0 , 90.98 , 
4 , 75.0 , 102.0 , 89.32 , 
5 , 75.0 , 116.0 , 91.1 , 
6 , 76.0 , 108.0 , 88.6 , 
7 , 70.0 , 102.0 , 87.56 , 
8 , 72.0 , 116.0 , 88.4 , 
9 , 72.0 , 118.0 , 86.36 , 
10 , 68.0 , 104.0 , 88.16 , 
11 , 74.0 , 110.0 , 87.74 , 
12 , 72.0 , 110.0 , 87.32 , 
13 , 76.0 , 108.0 , 90.42 , 
14 , 72.0 , 110.0 , 88.12 , 
15 , 72.0 , 108.0 , 87.36 , 
16 , 72.0 , 110.0 , 87.94 , 
17 , 67.0 , 109.0 , 87.84 , 
18 , 71.0 , 102.0 , 85.4 , 
19 , 74.0 , 107.0 , 86.94 , 
20 , 69.0 , 109.0 , 87.36 , 
21 , 71.0 , 104.0 , 85.66 , 
22 , 70.0 , 106.0 , 86.66 , 
23 , 70.0 , 101.0 , 85.94 , 
24 , 67.0 , 111.0 , 87.06 , 
25 , 69.0 , 113.0 , 87.24 , 
26 , 71.0 , 100.0 , 86.2 , 
27 , 73.0 , 100.0 , 84.28 , 
28 , 70.0 , 99.0 , 85.88 , 
29 , 72.0 , 109.0 , 86.8 , 
30 , 72.0 , 106.0 , 87.66 , 
31 , 70.0 , 104.0 , 84.72 , 
32 , 69.0 , 107.0 , 88.32 , 
33 , 72.0 , 105.0 , 85.2 , 
34 , 70.0 , 103.0 , 86.4 , 
35 , 72.0 , 105.0 , 88.14 , 
36 , 70.0 , 105.0 , 86.26 , 
37 , 71.0 , 109.0 , 86.2 , 
38 , 68.0 , 101.0 , 85.2 , 
39 , 69.0 , 105.0 , 85.92 , 
40 , 67.0 , 102.0 , 84.66 , 
41 , 70.0 , 98.0 , 84.24 , 
42 , 66.0 , 104.0 , 85.0 , 
43 , 68.0 , 101.0 , 85.14 , 
44 , 67.0 , 102.0 , 84.76 , 
45 , 68.0 , 102.0 , 85.62 , 
46 , 73.0 , 106.0 , 86.8 , 
47 , 72.0 , 107.0 , 85.82 , 
48 , 72.0 , 101.0 , 84.86 , 
49 , 68.0 , 111.0 , 86.56 , 
50 , 62.0 , 102.0 , 83.3 , 
51 , 72.0 , 100.0 , 85.48 , 
52 , 69.0 , 112.0 , 84.18 , 
53 , 69.0 , 105.0 , 86.08 , 
54 , 71.0 , 96.0 , 84.38 , 
55 , 65.0 , 105.0 , 83.56 , 
56 , 72.0 , 107.0 , 84.04 , 
57 , 71.0 , 107.0 , 85.54 , 
58 , 73.0 , 102.0 , 85.8 , 
59 , 68.0 , 109.0 , 84.16 , 
60 , 72.0 , 101.0 , 84.06 , 
61 , 67.0 , 103.0 , 83.64 , 
62 , 74.0 , 115.0 , 85.74 , 
63 , 71.0 , 103.0 , 83.7 , 
64 , 71.0 , 99.0 , 84.7 , 
65 , 65.0 , 102.0 , 84.36 , 
66 , 70.0 , 102.0 , 84.28 , 
67 , 65.0 , 102.0 , 83.1 , 
68 , 67.0 , 105.0 , 85.36 , 
69 , 68.0 , 107.0 , 83.52 , 
70 , 67.0 , 97.0 , 83.68 , 
71 , 68.0 , 108.0 , 84.2 , 
72 , 72.0 , 99.0 , 84.16 , 
73 , 69.0 , 107.0 , 84.54 , 
74 , 65.0 , 108.0 , 83.46 , 
75 , 70.0 , 99.0 , 83.72 , 
76 , 67.0 , 103.0 , 85.06 , 
77 , 71.0 , 94.0 , 83.48 , 
78 , 69.0 , 106.0 , 84.18 , 
79 , 63.0 , 98.0 , 83.04 , 
80 , 70.0 , 96.0 , 82.2 , 
81 , 68.0 , 107.0 , 81.7 , 
82 , 68.0 , 104.0 , 82.78 , 
83 , 68.0 , 105.0 , 83.2 , 
84 , 66.0 , 98.0 , 82.76 , 
85 , 71.0 , 99.0 , 83.46 , 
86 , 68.0 , 96.0 , 83.86 , 
87 , 67.0 , 98.0 , 82.36 , 
88 , 66.0 , 105.0 , 84.6 , 
89 , 68.0 , 110.0 , 83.08 , 
90 , 67.0 , 112.0 , 82.9 , 
91 , 69.0 , 102.0 , 82.78 , 
92 , 68.0 , 114.0 , 84.04 , 
93 , 63.0 , 102.0 , 83.86 , 
94 , 69.0 , 105.0 , 84.64 , 
95 , 66.0 , 98.0 , 83.48 , 
96 , 65.0 , 105.0 , 83.66 , 
97 , 69.0 , 100.0 , 82.92 , 
98 , 70.0 , 100.0 , 83.56 , 
99 , 68.0 , 102.0 , 83.26 , 
100 , 66.0 , 97.0 , 82.42 , 
101 , 69.0 , 107.0 , 83.62 , 
102 , 66.0 , 93.0 , 81.24 , 
103 , 66.0 , 95.0 , 80.38 , 
104 , 69.0 , 106.0 , 83.9 , 
105 , 69.0 , 105.0 , 83.18 , 
106 , 64.0 , 98.0 , 82.86 , 
107 , 68.0 , 97.0 , 82.64 , 
