Machine = 6,Job = 8,Task = 18,Ant = 50,
Sedai , Best ,, Bad , Average 
0 , 94.0 , 139.0 , 112.44 , 
1 , 92.0 , 130.0 , 112.06 , 
2 , 97.0 , 136.0 , 111.14 , 
3 , 93.0 , 132.0 , 110.48 , 
4 , 92.0 , 133.0 , 109.82 , 
5 , 91.0 , 130.0 , 108.22 , 
6 , 94.0 , 139.0 , 110.02 , 
7 , 92.0 , 133.0 , 107.02 , 
8 , 87.0 , 126.0 , 105.6 , 
9 , 86.0 , 125.0 , 103.82 , 
10 , 82.0 , 125.0 , 102.02 , 
11 , 84.0 , 113.0 , 99.12 , 
12 , 78.0 , 117.0 , 97.16 , 
13 , 77.0 , 114.0 , 96.7 , 
14 , 78.0 , 111.0 , 93.98 , 
15 , 76.0 , 111.0 , 91.62 , 
16 , 74.0 , 103.0 , 90.36 , 
17 , 72.0 , 110.0 , 89.2 , 
18 , 75.0 , 107.0 , 89.24 , 
19 , 72.0 , 107.0 , 86.32 , 
20 , 74.0 , 102.0 , 86.94 , 
21 , 75.0 , 98.0 , 84.54 , 
22 , 71.0 , 103.0 , 85.26 , 
23 , 72.0 , 101.0 , 84.6 , 
24 , 73.0 , 111.0 , 85.76 , 
25 , 67.0 , 98.0 , 85.42 , 
26 , 75.0 , 98.0 , 85.56 , 
27 , 68.0 , 100.0 , 82.74 , 
28 , 72.0 , 97.0 , 83.94 , 
29 , 69.0 , 99.0 , 83.08 , 
30 , 65.0 , 97.0 , 82.96 , 
31 , 67.0 , 92.0 , 80.12 , 
32 , 68.0 , 93.0 , 80.84 , 
33 , 68.0 , 94.0 , 81.42 , 
34 , 68.0 , 94.0 , 79.54 , 
35 , 68.0 , 102.0 , 81.54 , 
36 , 69.0 , 96.0 , 81.04 , 
37 , 69.0 , 97.0 , 80.34 , 
38 , 70.0 , 96.0 , 80.32 , 
39 , 63.0 , 95.0 , 79.94 , 
40 , 68.0 , 91.0 , 79.3 , 
41 , 67.0 , 95.0 , 78.04 , 
42 , 66.0 , 90.0 , 77.66 , 
43 , 67.0 , 97.0 , 79.68 , 
44 , 65.0 , 102.0 , 78.6 , 
45 , 68.0 , 87.0 , 77.9 , 
46 , 67.0 , 95.0 , 77.88 , 
47 , 66.0 , 90.0 , 78.92 , 
48 , 64.0 , 93.0 , 78.24 , 
49 , 66.0 , 97.0 , 77.28 , 
50 , 65.0 , 96.0 , 78.2 , 
51 , 63.0 , 89.0 , 77.06 , 
52 , 64.0 , 89.0 , 76.68 , 
53 , 66.0 , 95.0 , 76.04 , 
54 , 65.0 , 89.0 , 76.28 , 
55 , 67.0 , 88.0 , 76.46 , 
56 , 60.0 , 91.0 , 76.88 , 
57 , 64.0 , 85.0 , 76.7 , 
58 , 67.0 , 89.0 , 76.06 , 
59 , 67.0 , 100.0 , 77.94 , 
60 , 61.0 , 92.0 , 76.46 , 
