Machine = 5,Job = 5,Task = 12,Ant = 50,
Sedai , Best ,, Bad , Average 
0 , 54.0 , 79.0 , 62.78 , 
1 , 52.0 , 72.0 , 61.16 , 
2 , 51.0 , 74.0 , 60.02 , 
3 , 49.0 , 78.0 , 61.88 , 
4 , 50.0 , 74.0 , 61.9 , 
5 , 48.0 , 72.0 , 60.06 , 
6 , 48.0 , 71.0 , 59.82 , 
7 , 50.0 , 75.0 , 60.66 , 
8 , 46.0 , 78.0 , 60.44 , 
9 , 47.0 , 74.0 , 60.12 , 
10 , 50.0 , 76.0 , 61.14 , 
11 , 51.0 , 73.0 , 62.6 , 
12 , 45.0 , 71.0 , 60.02 , 
13 , 47.0 , 74.0 , 59.76 , 
14 , 45.0 , 70.0 , 59.06 , 
15 , 45.0 , 72.0 , 59.06 , 
16 , 47.0 , 79.0 , 59.12 , 
17 , 46.0 , 72.0 , 59.26 , 
18 , 48.0 , 70.0 , 57.4 , 
19 , 48.0 , 72.0 , 59.0 , 
20 , 44.0 , 70.0 , 57.76 , 
21 , 48.0 , 76.0 , 58.38 , 
22 , 45.0 , 70.0 , 58.6 , 
23 , 48.0 , 69.0 , 57.4 , 
24 , 49.0 , 75.0 , 58.52 , 
25 , 49.0 , 72.0 , 57.68 , 
26 , 45.0 , 71.0 , 58.22 , 
27 , 45.0 , 66.0 , 56.22 , 
28 , 47.0 , 70.0 , 57.48 , 
29 , 43.0 , 70.0 , 56.78 , 
30 , 50.0 , 67.0 , 57.22 , 
31 , 45.0 , 73.0 , 54.82 , 
32 , 43.0 , 76.0 , 56.76 , 
33 , 44.0 , 68.0 , 56.52 , 
34 , 44.0 , 79.0 , 56.28 , 
35 , 41.0 , 67.0 , 54.44 , 
36 , 47.0 , 65.0 , 55.42 , 
37 , 47.0 , 67.0 , 56.6 , 
38 , 46.0 , 66.0 , 56.3 , 
39 , 46.0 , 68.0 , 54.24 , 
40 , 44.0 , 68.0 , 56.14 , 
41 , 48.0 , 68.0 , 55.34 , 
42 , 43.0 , 69.0 , 55.26 , 
43 , 44.0 , 68.0 , 55.54 , 
44 , 41.0 , 72.0 , 54.86 , 
45 , 44.0 , 64.0 , 54.62 , 
46 , 45.0 , 69.0 , 54.16 , 
47 , 44.0 , 67.0 , 54.94 , 
48 , 43.0 , 69.0 , 54.1 , 
49 , 46.0 , 73.0 , 55.08 , 
50 , 45.0 , 69.0 , 54.46 , 
51 , 45.0 , 65.0 , 53.58 , 
52 , 46.0 , 64.0 , 54.12 , 
53 , 44.0 , 66.0 , 54.58 , 
54 , 46.0 , 69.0 , 55.14 , 
55 , 43.0 , 67.0 , 53.9 , 
56 , 46.0 , 74.0 , 54.58 , 
57 , 45.0 , 67.0 , 54.1 , 
58 , 43.0 , 73.0 , 54.04 , 
59 , 45.0 , 65.0 , 53.58 , 
60 , 44.0 , 62.0 , 53.98 , 
61 , 42.0 , 63.0 , 53.68 , 
62 , 43.0 , 66.0 , 54.22 , 
63 , 45.0 , 63.0 , 54.0 , 
64 , 44.0 , 65.0 , 54.24 , 
65 , 45.0 , 68.0 , 54.08 , 
66 , 46.0 , 63.0 , 54.3 , 
67 , 45.0 , 67.0 , 54.66 , 
68 , 44.0 , 65.0 , 53.32 , 
69 , 44.0 , 70.0 , 53.78 , 
70 , 44.0 , 65.0 , 53.36 , 
71 , 43.0 , 65.0 , 53.68 , 
72 , 41.0 , 64.0 , 52.04 , 
73 , 44.0 , 62.0 , 53.0 , 
74 , 40.0 , 65.0 , 53.46 , 
75 , 43.0 , 68.0 , 53.56 , 
76 , 41.0 , 64.0 , 54.1 , 
77 , 42.0 , 65.0 , 53.64 , 
78 , 41.0 , 64.0 , 53.06 , 
79 , 43.0 , 66.0 , 53.08 , 
80 , 45.0 , 65.0 , 54.16 , 
81 , 42.0 , 71.0 , 53.42 , 
82 , 43.0 , 61.0 , 52.14 , 
83 , 46.0 , 62.0 , 52.62 , 
84 , 43.0 , 68.0 , 52.72 , 
85 , 43.0 , 59.0 , 50.94 , 
86 , 44.0 , 67.0 , 52.8 , 
87 , 41.0 , 63.0 , 52.12 , 
88 , 44.0 , 63.0 , 54.1 , 
89 , 41.0 , 62.0 , 52.14 , 
90 , 41.0 , 61.0 , 51.76 , 
91 , 44.0 , 65.0 , 52.08 , 
92 , 44.0 , 65.0 , 52.68 , 
93 , 45.0 , 63.0 , 52.82 , 
94 , 43.0 , 63.0 , 53.1 , 
95 , 43.0 , 64.0 , 51.46 , 
96 , 43.0 , 63.0 , 52.34 , 
97 , 41.0 , 65.0 , 52.48 , 
98 , 41.0 , 62.0 , 52.18 , 
99 , 41.0 , 67.0 , 51.94 , 
100 , 42.0 , 63.0 , 51.66 , 
101 , 43.0 , 63.0 , 51.12 , 
102 , 43.0 , 64.0 , 52.06 , 
103 , 40.0 , 66.0 , 52.1 , 
104 , 45.0 , 60.0 , 52.3 , 
105 , 43.0 , 67.0 , 52.48 , 
106 , 42.0 , 66.0 , 51.78 , 
107 , 45.0 , 61.0 , 52.36 , 
108 , 44.0 , 67.0 , 52.56 , 
109 , 42.0 , 62.0 , 51.6 , 
110 , 42.0 , 62.0 , 51.54 , 
111 , 41.0 , 66.0 , 51.48 , 
112 , 43.0 , 63.0 , 51.34 , 
113 , 42.0 , 62.0 , 51.04 , 
114 , 43.0 , 66.0 , 51.16 , 
115 , 41.0 , 69.0 , 50.88 , 
116 , 43.0 , 67.0 , 50.92 , 
117 , 42.0 , 68.0 , 51.44 , 
118 , 43.0 , 61.0 , 50.88 , 
119 , 44.0 , 65.0 , 51.92 , 
120 , 42.0 , 63.0 , 50.88 , 
121 , 41.0 , 61.0 , 50.32 , 
122 , 44.0 , 61.0 , 50.64 , 
123 , 41.0 , 58.0 , 49.26 , 
124 , 40.0 , 60.0 , 49.62 , 
125 , 42.0 , 59.0 , 49.02 , 
126 , 42.0 , 58.0 , 49.44 , 
127 , 41.0 , 60.0 , 49.92 , 
128 , 41.0 , 66.0 , 50.04 , 
129 , 40.0 , 61.0 , 49.44 , 
130 , 40.0 , 60.0 , 49.22 , 
131 , 40.0 , 61.0 , 49.44 , 
132 , 41.0 , 61.0 , 49.92 , 
133 , 40.0 , 67.0 , 49.28 , 
134 , 43.0 , 59.0 , 49.66 , 
135 , 43.0 , 59.0 , 50.38 , 
136 , 41.0 , 58.0 , 48.88 , 
137 , 41.0 , 61.0 , 49.6 , 
138 , 42.0 , 60.0 , 48.18 , 
139 , 42.0 , 64.0 , 48.96 , 
140 , 41.0 , 60.0 , 48.72 , 
141 , 41.0 , 56.0 , 47.9 , 
142 , 39.0 , 62.0 , 48.44 , 
143 , 41.0 , 57.0 , 49.2 , 
144 , 41.0 , 60.0 , 48.76 , 
145 , 40.0 , 60.0 , 48.84 , 
146 , 40.0 , 60.0 , 48.9 , 
147 , 40.0 , 58.0 , 48.48 , 
148 , 38.0 , 55.0 , 47.96 , 
149 , 41.0 , 60.0 , 48.1 , 
150 , 39.0 , 58.0 , 49.1 , 
151 , 40.0 , 57.0 , 47.84 , 
152 , 42.0 , 56.0 , 47.82 , 
153 , 39.0 , 55.0 , 48.66 , 
154 , 40.0 , 55.0 , 47.7 , 
155 , 38.0 , 56.0 , 47.52 , 
156 , 39.0 , 62.0 , 47.28 , 
157 , 38.0 , 64.0 , 49.06 , 
158 , 41.0 , 59.0 , 48.52 , 
159 , 38.0 , 60.0 , 47.72 , 
160 , 38.0 , 63.0 , 47.86 , 
161 , 40.0 , 58.0 , 48.22 , 
162 , 41.0 , 57.0 , 47.68 , 
163 , 40.0 , 63.0 , 48.06 , 
164 , 39.0 , 61.0 , 47.3 , 
165 , 40.0 , 57.0 , 47.26 , 
166 , 38.0 , 56.0 , 47.18 , 
167 , 40.0 , 57.0 , 47.04 , 
168 , 39.0 , 60.0 , 46.66 , 
169 , 38.0 , 62.0 , 47.64 , 
170 , 40.0 , 62.0 , 47.14 , 
171 , 38.0 , 56.0 , 47.22 , 
172 , 39.0 , 56.0 , 46.5 , 
173 , 38.0 , 56.0 , 45.94 , 
174 , 40.0 , 54.0 , 46.46 , 
175 , 41.0 , 59.0 , 47.1 , 
176 , 38.0 , 54.0 , 46.06 , 
177 , 40.0 , 55.0 , 46.08 , 
178 , 39.0 , 60.0 , 47.14 , 
179 , 38.0 , 65.0 , 47.0 , 
180 , 39.0 , 59.0 , 46.86 , 
181 , 38.0 , 59.0 , 46.28 , 
182 , 39.0 , 54.0 , 45.44 , 
183 , 38.0 , 52.0 , 45.74 , 
184 , 38.0 , 58.0 , 46.6 , 
185 , 38.0 , 53.0 , 45.28 , 
186 , 38.0 , 53.0 , 45.72 , 
187 , 38.0 , 57.0 , 44.9 , 
188 , 40.0 , 52.0 , 44.92 , 
189 , 38.0 , 55.0 , 45.22 , 
190 , 38.0 , 54.0 , 45.22 , 
191 , 39.0 , 60.0 , 45.54 , 
192 , 40.0 , 54.0 , 45.92 , 
193 , 39.0 , 55.0 , 44.28 , 
194 , 38.0 , 59.0 , 45.46 , 
195 , 38.0 , 58.0 , 45.32 , 
196 , 40.0 , 55.0 , 45.58 , 
197 , 39.0 , 56.0 , 44.54 , 
198 , 39.0 , 54.0 , 46.08 , 
199 , 38.0 , 53.0 , 45.14 , 
200 , 38.0 , 51.0 , 44.48 , 
201 , 40.0 , 51.0 , 44.72 , 
202 , 38.0 , 53.0 , 44.76 , 
203 , 38.0 , 53.0 , 44.5 , 
204 , 38.0 , 53.0 , 44.26 , 
205 , 39.0 , 51.0 , 44.64 , 
206 , 38.0 , 57.0 , 45.0 , 
207 , 38.0 , 63.0 , 45.32 , 
208 , 38.0 , 51.0 , 44.18 , 
209 , 38.0 , 54.0 , 44.24 , 
210 , 38.0 , 53.0 , 43.96 , 
211 , 38.0 , 57.0 , 44.88 , 
212 , 38.0 , 50.0 , 44.82 , 
213 , 38.0 , 53.0 , 44.56 , 
214 , 40.0 , 59.0 , 44.68 , 
215 , 38.0 , 57.0 , 45.12 , 
216 , 40.0 , 52.0 , 44.4 , 
217 , 38.0 , 51.0 , 43.88 , 
218 , 38.0 , 52.0 , 44.54 , 
219 , 38.0 , 55.0 , 44.68 , 
220 , 39.0 , 59.0 , 44.54 , 
221 , 39.0 , 54.0 , 43.76 , 
222 , 38.0 , 54.0 , 44.4 , 
223 , 38.0 , 64.0 , 44.3 , 
224 , 39.0 , 53.0 , 45.04 , 
225 , 38.0 , 54.0 , 44.72 , 
226 , 38.0 , 53.0 , 44.5 , 
227 , 38.0 , 53.0 , 44.1 , 
228 , 38.0 , 55.0 , 44.9 , 
229 , 38.0 , 59.0 , 45.38 , 
230 , 38.0 , 51.0 , 44.54 , 
231 , 38.0 , 52.0 , 44.36 , 
232 , 38.0 , 55.0 , 44.12 , 
233 , 38.0 , 61.0 , 44.78 , 
234 , 39.0 , 53.0 , 43.82 , 
235 , 38.0 , 58.0 , 45.18 , 
236 , 38.0 , 52.0 , 44.52 , 
237 , 38.0 , 54.0 , 44.58 , 
238 , 38.0 , 53.0 , 43.96 , 
239 , 39.0 , 51.0 , 44.1 , 
240 , 39.0 , 55.0 , 44.92 , 
241 , 38.0 , 55.0 , 44.2 , 
242 , 39.0 , 52.0 , 43.76 , 
243 , 38.0 , 53.0 , 43.96 , 
244 , 38.0 , 51.0 , 43.98 , 
245 , 38.0 , 54.0 , 44.62 , 
246 , 38.0 , 51.0 , 43.98 , 
247 , 38.0 , 54.0 , 44.52 , 
248 , 38.0 , 55.0 , 44.48 , 
249 , 38.0 , 52.0 , 44.62 , 
250 , 38.0 , 53.0 , 44.1 , 
251 , 38.0 , 51.0 , 43.92 , 
252 , 38.0 , 53.0 , 44.22 , 
253 , 38.0 , 52.0 , 44.1 , 
254 , 38.0 , 56.0 , 43.38 , 
255 , 38.0 , 50.0 , 43.32 , 
256 , 38.0 , 52.0 , 43.5 , 
257 , 38.0 , 54.0 , 44.38 , 
258 , 38.0 , 51.0 , 44.2 , 
259 , 38.0 , 51.0 , 43.0 , 
260 , 38.0 , 56.0 , 44.22 , 
261 , 38.0 , 50.0 , 43.84 , 
262 , 38.0 , 57.0 , 44.42 , 
263 , 38.0 , 52.0 , 44.08 , 
264 , 38.0 , 51.0 , 43.34 , 
265 , 38.0 , 49.0 , 43.82 , 
266 , 38.0 , 54.0 , 43.06 , 
267 , 38.0 , 51.0 , 43.68 , 
