Machine = 6,Job = 10,Task = 20,Ant = 50,
Sedai , Best ,, Bad , Average 
0 , 159.0 , 206.0 , 181.02 , 
1 , 154.0 , 208.0 , 175.66 , 
2 , 155.0 , 210.0 , 178.0 , 
3 , 153.0 , 204.0 , 178.14 , 
4 , 156.0 , 202.0 , 177.08 , 
5 , 158.0 , 208.0 , 177.84 , 
6 , 154.0 , 200.0 , 177.38 , 
7 , 143.0 , 201.0 , 177.02 , 
8 , 151.0 , 201.0 , 176.74 , 
9 , 147.0 , 203.0 , 176.1 , 
10 , 155.0 , 197.0 , 174.34 , 
11 , 143.0 , 201.0 , 176.14 , 
12 , 148.0 , 207.0 , 177.02 , 
13 , 154.0 , 210.0 , 175.9 , 
14 , 154.0 , 205.0 , 176.46 , 
15 , 155.0 , 210.0 , 176.22 , 
16 , 147.0 , 201.0 , 177.0 , 
17 , 149.0 , 207.0 , 176.68 , 
18 , 154.0 , 200.0 , 178.24 , 
19 , 153.0 , 195.0 , 174.64 , 
20 , 158.0 , 199.0 , 176.2 , 
21 , 144.0 , 216.0 , 174.98 , 
22 , 149.0 , 208.0 , 176.1 , 
23 , 158.0 , 197.0 , 178.42 , 
24 , 160.0 , 200.0 , 179.68 , 
25 , 150.0 , 206.0 , 177.6 , 
26 , 160.0 , 205.0 , 178.68 , 
27 , 151.0 , 209.0 , 178.92 , 
28 , 157.0 , 201.0 , 179.72 , 
29 , 154.0 , 203.0 , 177.88 , 
30 , 153.0 , 198.0 , 178.66 , 
31 , 157.0 , 221.0 , 179.82 , 
32 , 155.0 , 207.0 , 179.62 , 
33 , 151.0 , 201.0 , 178.9 , 
34 , 153.0 , 199.0 , 178.86 , 
35 , 154.0 , 201.0 , 179.64 , 
36 , 156.0 , 207.0 , 178.38 , 
37 , 154.0 , 204.0 , 180.38 , 
38 , 160.0 , 197.0 , 177.66 , 
39 , 152.0 , 197.0 , 175.16 , 
40 , 155.0 , 204.0 , 178.34 , 
41 , 156.0 , 212.0 , 179.64 , 
42 , 159.0 , 196.0 , 178.86 , 
43 , 154.0 , 200.0 , 180.16 , 
44 , 151.0 , 206.0 , 178.22 , 
45 , 153.0 , 205.0 , 180.08 , 
46 , 151.0 , 206.0 , 180.36 , 
47 , 149.0 , 197.0 , 177.5 , 
48 , 157.0 , 204.0 , 180.86 , 
49 , 158.0 , 203.0 , 177.86 , 
50 , 157.0 , 207.0 , 180.72 , 
51 , 155.0 , 210.0 , 181.08 , 
52 , 156.0 , 208.0 , 179.0 , 
53 , 156.0 , 201.0 , 178.08 , 
54 , 153.0 , 205.0 , 177.44 , 
55 , 157.0 , 207.0 , 181.1 , 
56 , 160.0 , 212.0 , 179.98 , 
57 , 159.0 , 202.0 , 178.64 , 
58 , 153.0 , 226.0 , 178.84 , 
59 , 149.0 , 200.0 , 178.7 , 
60 , 154.0 , 206.0 , 182.12 , 
61 , 154.0 , 210.0 , 182.22 , 
62 , 158.0 , 213.0 , 180.38 , 
63 , 155.0 , 216.0 , 180.06 , 
64 , 163.0 , 205.0 , 182.04 , 
65 , 163.0 , 216.0 , 181.04 , 
66 , 159.0 , 204.0 , 180.38 , 
67 , 161.0 , 214.0 , 183.0 , 
68 , 162.0 , 212.0 , 182.06 , 
69 , 160.0 , 219.0 , 182.72 , 
70 , 160.0 , 204.0 , 182.32 , 
71 , 167.0 , 213.0 , 183.42 , 
72 , 155.0 , 205.0 , 181.18 , 
73 , 150.0 , 212.0 , 180.28 , 
74 , 153.0 , 207.0 , 181.38 , 
75 , 151.0 , 213.0 , 182.98 , 
76 , 157.0 , 201.0 , 180.56 , 
77 , 151.0 , 205.0 , 180.46 , 
78 , 162.0 , 203.0 , 180.66 , 
79 , 158.0 , 210.0 , 178.62 , 
80 , 154.0 , 210.0 , 178.22 , 
81 , 154.0 , 204.0 , 181.08 , 
82 , 154.0 , 207.0 , 176.18 , 
83 , 152.0 , 195.0 , 179.86 , 
84 , 161.0 , 209.0 , 181.58 , 
85 , 156.0 , 216.0 , 180.86 , 
86 , 156.0 , 209.0 , 180.36 , 
87 , 162.0 , 202.0 , 181.88 , 
88 , 151.0 , 214.0 , 180.7 , 
89 , 148.0 , 204.0 , 180.22 , 
90 , 160.0 , 201.0 , 178.2 , 
91 , 149.0 , 201.0 , 182.48 , 
92 , 158.0 , 218.0 , 181.16 , 
93 , 161.0 , 210.0 , 180.2 , 
94 , 160.0 , 205.0 , 180.76 , 
95 , 165.0 , 211.0 , 181.66 , 
96 , 152.0 , 210.0 , 179.12 , 
97 , 157.0 , 203.0 , 179.8 , 
98 , 152.0 , 225.0 , 180.6 , 
99 , 149.0 , 208.0 , 179.68 , 
100 , 155.0 , 199.0 , 178.18 , 
101 , 160.0 , 210.0 , 181.04 , 
102 , 157.0 , 202.0 , 179.38 , 
103 , 159.0 , 206.0 , 179.02 , 
104 , 150.0 , 209.0 , 178.34 , 
105 , 154.0 , 210.0 , 178.22 , 
106 , 154.0 , 206.0 , 177.78 , 
107 , 152.0 , 209.0 , 178.66 , 
108 , 150.0 , 204.0 , 174.82 , 
109 , 147.0 , 203.0 , 178.34 , 
110 , 158.0 , 206.0 , 181.12 , 
111 , 152.0 , 207.0 , 179.12 , 
112 , 152.0 , 198.0 , 177.62 , 
113 , 149.0 , 200.0 , 177.74 , 
114 , 147.0 , 200.0 , 177.42 , 
115 , 158.0 , 212.0 , 178.34 , 
116 , 154.0 , 197.0 , 176.96 , 
117 , 157.0 , 200.0 , 178.3 , 
118 , 152.0 , 197.0 , 176.3 , 
119 , 154.0 , 209.0 , 179.28 , 
120 , 157.0 , 197.0 , 175.52 , 
121 , 150.0 , 198.0 , 178.3 , 
122 , 155.0 , 209.0 , 175.78 , 
123 , 155.0 , 199.0 , 176.64 , 
124 , 151.0 , 199.0 , 175.18 , 
125 , 154.0 , 200.0 , 178.62 , 
126 , 158.0 , 206.0 , 180.8 , 
127 , 154.0 , 216.0 , 178.64 , 
128 , 154.0 , 208.0 , 178.26 , 
129 , 150.0 , 204.0 , 176.12 , 
130 , 159.0 , 202.0 , 175.86 , 
131 , 151.0 , 201.0 , 175.44 , 
132 , 146.0 , 209.0 , 177.5 , 
133 , 153.0 , 200.0 , 177.72 , 
134 , 154.0 , 200.0 , 175.16 , 
135 , 141.0 , 200.0 , 174.9 , 
136 , 154.0 , 197.0 , 178.4 , 
137 , 150.0 , 201.0 , 173.38 , 
138 , 155.0 , 199.0 , 176.8 , 
139 , 157.0 , 204.0 , 175.28 , 
140 , 154.0 , 201.0 , 176.6 , 
141 , 149.0 , 198.0 , 175.54 , 
142 , 149.0 , 205.0 , 174.28 , 
143 , 154.0 , 201.0 , 174.28 , 
144 , 160.0 , 200.0 , 177.46 , 
145 , 153.0 , 204.0 , 176.18 , 
146 , 157.0 , 209.0 , 175.64 , 
147 , 148.0 , 205.0 , 174.86 , 
148 , 154.0 , 198.0 , 174.34 , 
149 , 149.0 , 211.0 , 173.84 , 
150 , 151.0 , 197.0 , 172.72 , 
151 , 158.0 , 192.0 , 175.76 , 
152 , 158.0 , 201.0 , 175.7 , 
153 , 151.0 , 197.0 , 173.74 , 
154 , 155.0 , 196.0 , 174.62 , 
155 , 150.0 , 208.0 , 175.12 , 
156 , 158.0 , 198.0 , 177.04 , 
157 , 156.0 , 193.0 , 175.58 , 
158 , 154.0 , 192.0 , 174.5 , 
159 , 150.0 , 215.0 , 174.36 , 
160 , 152.0 , 194.0 , 173.34 , 
161 , 157.0 , 213.0 , 176.22 , 
162 , 159.0 , 205.0 , 176.24 , 
163 , 155.0 , 201.0 , 173.86 , 
164 , 151.0 , 198.0 , 175.8 , 
165 , 160.0 , 196.0 , 175.72 , 
166 , 155.0 , 195.0 , 173.68 , 
167 , 154.0 , 201.0 , 176.92 , 
168 , 152.0 , 198.0 , 174.0 , 
169 , 154.0 , 212.0 , 175.08 , 
170 , 154.0 , 198.0 , 176.0 , 
171 , 154.0 , 196.0 , 174.0 , 
172 , 149.0 , 191.0 , 175.66 , 
173 , 153.0 , 214.0 , 176.36 , 
174 , 150.0 , 199.0 , 174.6 , 
175 , 157.0 , 196.0 , 177.34 , 
176 , 155.0 , 211.0 , 173.98 , 
177 , 156.0 , 188.0 , 174.14 , 
178 , 155.0 , 195.0 , 174.0 , 
179 , 153.0 , 212.0 , 174.28 , 
180 , 152.0 , 198.0 , 176.64 , 
181 , 158.0 , 205.0 , 175.48 , 
182 , 158.0 , 195.0 , 177.9 , 
183 , 153.0 , 196.0 , 175.5 , 
184 , 148.0 , 205.0 , 174.9 , 
185 , 157.0 , 194.0 , 175.18 , 
186 , 158.0 , 200.0 , 177.82 , 
187 , 154.0 , 206.0 , 178.92 , 
188 , 156.0 , 207.0 , 177.48 , 
189 , 159.0 , 210.0 , 175.96 , 
190 , 150.0 , 204.0 , 178.54 , 
191 , 158.0 , 206.0 , 179.56 , 
192 , 155.0 , 196.0 , 177.18 , 
193 , 151.0 , 199.0 , 178.72 , 
194 , 157.0 , 197.0 , 177.68 , 
195 , 148.0 , 208.0 , 175.92 , 
196 , 147.0 , 201.0 , 174.74 , 
197 , 159.0 , 198.0 , 177.08 , 
198 , 158.0 , 205.0 , 179.28 , 
199 , 157.0 , 201.0 , 178.26 , 
200 , 151.0 , 201.0 , 179.14 , 
201 , 159.0 , 208.0 , 179.32 , 
202 , 151.0 , 204.0 , 176.32 , 
203 , 155.0 , 204.0 , 177.5 , 
204 , 150.0 , 200.0 , 175.0 , 
205 , 152.0 , 200.0 , 173.82 , 
206 , 150.0 , 196.0 , 172.68 , 
207 , 149.0 , 197.0 , 175.22 , 
208 , 155.0 , 193.0 , 173.66 , 
209 , 159.0 , 200.0 , 175.62 , 
210 , 155.0 , 201.0 , 174.2 , 
211 , 158.0 , 194.0 , 175.72 , 
212 , 151.0 , 200.0 , 174.56 , 
213 , 149.0 , 208.0 , 174.3 , 
214 , 161.0 , 199.0 , 177.82 , 
215 , 155.0 , 208.0 , 177.82 , 
216 , 154.0 , 192.0 , 175.48 , 
217 , 153.0 , 195.0 , 175.36 , 
218 , 157.0 , 198.0 , 175.74 , 
219 , 157.0 , 196.0 , 176.32 , 
220 , 146.0 , 200.0 , 176.2 , 
221 , 155.0 , 210.0 , 176.74 , 
222 , 156.0 , 203.0 , 178.4 , 
223 , 156.0 , 198.0 , 177.06 , 
224 , 144.0 , 217.0 , 178.08 , 
225 , 159.0 , 195.0 , 175.76 , 
226 , 159.0 , 203.0 , 178.4 , 
227 , 150.0 , 205.0 , 173.48 , 
228 , 155.0 , 199.0 , 177.74 , 
229 , 157.0 , 198.0 , 177.98 , 
230 , 155.0 , 204.0 , 178.42 , 
231 , 147.0 , 206.0 , 177.08 , 
232 , 152.0 , 199.0 , 176.94 , 
233 , 155.0 , 203.0 , 176.62 , 
234 , 159.0 , 202.0 , 176.1 , 
235 , 162.0 , 215.0 , 178.74 , 
236 , 150.0 , 196.0 , 175.7 , 
237 , 149.0 , 204.0 , 175.78 , 
238 , 159.0 , 194.0 , 175.82 , 
239 , 155.0 , 197.0 , 176.52 , 
240 , 153.0 , 195.0 , 174.3 , 
241 , 155.0 , 197.0 , 173.5 , 
242 , 157.0 , 202.0 , 176.68 , 
243 , 158.0 , 194.0 , 174.42 , 
244 , 156.0 , 201.0 , 176.4 , 
245 , 153.0 , 190.0 , 171.48 , 
246 , 157.0 , 201.0 , 175.5 , 
247 , 155.0 , 203.0 , 175.9 , 
248 , 152.0 , 203.0 , 173.66 , 
249 , 148.0 , 193.0 , 174.44 , 
250 , 153.0 , 210.0 , 174.04 , 
251 , 152.0 , 196.0 , 175.74 , 
252 , 153.0 , 198.0 , 174.64 , 
253 , 156.0 , 197.0 , 174.54 , 
254 , 149.0 , 203.0 , 176.48 , 
255 , 150.0 , 197.0 , 176.54 , 
256 , 158.0 , 200.0 , 178.98 , 
257 , 154.0 , 203.0 , 175.98 , 
258 , 155.0 , 205.0 , 176.06 , 
259 , 133.0 , 211.0 , 176.72 , 
260 , 161.0 , 195.0 , 178.82 , 
261 , 151.0 , 208.0 , 175.64 , 
262 , 155.0 , 199.0 , 176.04 , 
263 , 150.0 , 195.0 , 174.26 , 
264 , 155.0 , 202.0 , 177.36 , 
265 , 157.0 , 196.0 , 176.04 , 
266 , 151.0 , 202.0 , 177.14 , 
267 , 154.0 , 205.0 , 177.58 , 
268 , 157.0 , 201.0 , 177.78 , 
269 , 148.0 , 192.0 , 175.62 , 
270 , 155.0 , 202.0 , 176.56 , 
271 , 159.0 , 203.0 , 176.14 , 
272 , 158.0 , 195.0 , 176.06 , 
273 , 147.0 , 197.0 , 175.46 , 
274 , 157.0 , 207.0 , 176.24 , 
275 , 151.0 , 204.0 , 175.72 , 
276 , 150.0 , 194.0 , 178.18 , 
277 , 156.0 , 204.0 , 178.92 , 
278 , 152.0 , 201.0 , 177.84 , 
279 , 158.0 , 196.0 , 178.4 , 
280 , 157.0 , 208.0 , 177.1 , 
281 , 157.0 , 204.0 , 176.1 , 
282 , 157.0 , 202.0 , 177.14 , 
283 , 154.0 , 198.0 , 177.16 , 
284 , 144.0 , 204.0 , 175.8 , 
285 , 160.0 , 198.0 , 177.2 , 
286 , 159.0 , 198.0 , 176.78 , 
287 , 160.0 , 195.0 , 178.76 , 
288 , 159.0 , 201.0 , 180.76 , 
289 , 159.0 , 199.0 , 178.6 , 
290 , 158.0 , 200.0 , 180.26 , 
291 , 157.0 , 198.0 , 175.58 , 
292 , 158.0 , 202.0 , 179.46 , 
293 , 161.0 , 198.0 , 177.92 , 
294 , 159.0 , 204.0 , 180.88 , 
295 , 158.0 , 198.0 , 178.1 , 
296 , 155.0 , 192.0 , 177.4 , 
297 , 157.0 , 202.0 , 174.18 , 
298 , 159.0 , 201.0 , 178.12 , 
299 , 163.0 , 199.0 , 177.58 , 
300 , 153.0 , 198.0 , 176.38 , 
301 , 151.0 , 196.0 , 175.28 , 
302 , 161.0 , 201.0 , 179.42 , 
303 , 155.0 , 205.0 , 181.2 , 
304 , 159.0 , 198.0 , 178.68 , 
305 , 153.0 , 196.0 , 175.98 , 
306 , 152.0 , 196.0 , 177.58 , 
307 , 161.0 , 207.0 , 177.06 , 
308 , 152.0 , 203.0 , 176.88 , 
309 , 158.0 , 204.0 , 178.04 , 
310 , 156.0 , 195.0 , 177.68 , 
311 , 150.0 , 208.0 , 175.26 , 
312 , 156.0 , 196.0 , 176.42 , 
313 , 149.0 , 207.0 , 175.38 , 
314 , 156.0 , 203.0 , 178.16 , 
315 , 157.0 , 197.0 , 176.02 , 
316 , 156.0 , 196.0 , 173.86 , 
317 , 157.0 , 197.0 , 175.02 , 
318 , 151.0 , 203.0 , 179.74 , 
319 , 158.0 , 203.0 , 179.86 , 
320 , 152.0 , 195.0 , 176.88 , 
321 , 156.0 , 199.0 , 176.34 , 
322 , 157.0 , 205.0 , 177.96 , 
323 , 157.0 , 198.0 , 177.66 , 
324 , 159.0 , 195.0 , 173.58 , 
325 , 162.0 , 193.0 , 177.84 , 
326 , 148.0 , 197.0 , 175.96 , 
327 , 156.0 , 193.0 , 174.46 , 
328 , 161.0 , 196.0 , 173.98 , 
329 , 153.0 , 202.0 , 175.76 , 
330 , 156.0 , 195.0 , 175.62 , 
331 , 158.0 , 192.0 , 176.08 , 
332 , 155.0 , 204.0 , 173.16 , 
333 , 158.0 , 197.0 , 175.86 , 
334 , 152.0 , 192.0 , 174.2 , 
335 , 151.0 , 190.0 , 173.82 , 
336 , 150.0 , 203.0 , 176.6 , 
337 , 149.0 , 202.0 , 175.72 , 
338 , 155.0 , 201.0 , 176.8 , 
339 , 157.0 , 191.0 , 176.48 , 
340 , 155.0 , 199.0 , 177.4 , 
341 , 149.0 , 203.0 , 176.12 , 
342 , 158.0 , 196.0 , 178.16 , 
343 , 154.0 , 202.0 , 176.94 , 
344 , 156.0 , 202.0 , 176.46 , 
345 , 157.0 , 193.0 , 174.5 , 
346 , 158.0 , 201.0 , 173.74 , 
347 , 158.0 , 206.0 , 176.48 , 
348 , 150.0 , 206.0 , 173.38 , 
349 , 159.0 , 201.0 , 175.76 , 
350 , 153.0 , 207.0 , 174.8 , 
351 , 153.0 , 196.0 , 176.98 , 
352 , 158.0 , 195.0 , 175.54 , 
353 , 159.0 , 204.0 , 177.08 , 
354 , 155.0 , 202.0 , 173.84 , 
355 , 152.0 , 200.0 , 173.6 , 
356 , 156.0 , 199.0 , 174.86 , 
357 , 147.0 , 199.0 , 173.42 , 
358 , 159.0 , 192.0 , 174.04 , 
359 , 146.0 , 191.0 , 172.86 , 
360 , 151.0 , 203.0 , 174.78 , 
361 , 155.0 , 194.0 , 177.28 , 
362 , 155.0 , 198.0 , 177.24 , 
363 , 149.0 , 199.0 , 175.5 , 
364 , 156.0 , 199.0 , 176.36 , 
365 , 152.0 , 199.0 , 171.52 , 
366 , 153.0 , 196.0 , 175.88 , 
367 , 138.0 , 202.0 , 178.08 , 
368 , 159.0 , 198.0 , 175.5 , 
369 , 149.0 , 200.0 , 175.3 , 
370 , 152.0 , 194.0 , 174.74 , 
371 , 150.0 , 201.0 , 175.64 , 
372 , 159.0 , 198.0 , 175.84 , 
373 , 155.0 , 200.0 , 178.32 , 
374 , 155.0 , 199.0 , 176.44 , 
375 , 157.0 , 197.0 , 176.36 , 
376 , 158.0 , 198.0 , 173.8 , 
377 , 158.0 , 209.0 , 177.38 , 
378 , 158.0 , 199.0 , 176.16 , 
379 , 159.0 , 198.0 , 177.9 , 
380 , 148.0 , 213.0 , 179.3 , 
381 , 155.0 , 217.0 , 178.1 , 
382 , 159.0 , 204.0 , 175.26 , 
383 , 157.0 , 197.0 , 177.1 , 
384 , 152.0 , 197.0 , 176.54 , 
385 , 156.0 , 200.0 , 177.28 , 
386 , 157.0 , 208.0 , 176.24 , 
387 , 157.0 , 211.0 , 176.1 , 
388 , 156.0 , 196.0 , 176.14 , 
389 , 157.0 , 211.0 , 177.04 , 
390 , 154.0 , 201.0 , 179.14 , 
391 , 159.0 , 192.0 , 177.3 , 
392 , 155.0 , 193.0 , 177.12 , 
393 , 158.0 , 203.0 , 179.68 , 
394 , 159.0 , 196.0 , 177.48 , 
395 , 150.0 , 193.0 , 176.98 , 
396 , 162.0 , 203.0 , 180.48 , 
397 , 158.0 , 195.0 , 176.48 , 
398 , 152.0 , 202.0 , 177.34 , 
399 , 155.0 , 194.0 , 176.42 , 
400 , 154.0 , 202.0 , 178.52 , 
401 , 155.0 , 220.0 , 177.98 , 
402 , 152.0 , 198.0 , 177.82 , 
403 , 150.0 , 197.0 , 176.24 , 
404 , 155.0 , 205.0 , 177.68 , 
405 , 158.0 , 194.0 , 177.34 , 
406 , 160.0 , 203.0 , 180.06 , 
407 , 144.0 , 204.0 , 177.58 , 
408 , 150.0 , 206.0 , 179.24 , 
409 , 161.0 , 205.0 , 180.2 , 
410 , 155.0 , 199.0 , 177.82 , 
411 , 163.0 , 210.0 , 181.48 , 
412 , 156.0 , 203.0 , 180.1 , 
413 , 161.0 , 197.0 , 178.02 , 
414 , 160.0 , 201.0 , 176.76 , 
415 , 158.0 , 204.0 , 180.38 , 
416 , 153.0 , 200.0 , 179.04 , 
417 , 166.0 , 209.0 , 180.0 , 
418 , 159.0 , 196.0 , 177.28 , 
419 , 157.0 , 198.0 , 179.44 , 
420 , 148.0 , 205.0 , 178.46 , 
421 , 154.0 , 205.0 , 177.9 , 
422 , 157.0 , 192.0 , 177.32 , 
423 , 159.0 , 207.0 , 176.98 , 
424 , 157.0 , 200.0 , 177.92 , 
425 , 161.0 , 200.0 , 179.78 , 
426 , 156.0 , 199.0 , 175.76 , 
427 , 155.0 , 197.0 , 179.04 , 
428 , 159.0 , 197.0 , 177.24 , 
429 , 153.0 , 212.0 , 177.54 , 
430 , 156.0 , 202.0 , 177.3 , 
431 , 152.0 , 193.0 , 178.24 , 
432 , 159.0 , 207.0 , 178.54 , 
433 , 158.0 , 204.0 , 178.38 , 
434 , 149.0 , 207.0 , 178.02 , 
435 , 156.0 , 209.0 , 178.26 , 
436 , 162.0 , 200.0 , 177.98 , 
437 , 158.0 , 200.0 , 177.26 , 
438 , 157.0 , 210.0 , 177.94 , 
439 , 157.0 , 209.0 , 179.22 , 
440 , 154.0 , 194.0 , 178.32 , 
441 , 160.0 , 202.0 , 179.82 , 
442 , 157.0 , 203.0 , 177.7 , 
443 , 161.0 , 199.0 , 178.08 , 
