Machine = 10,Job = 5,Task = 60,Ant = 50,,,
Sedai , Best , Bad , Average ,,,
0,129,195,156.86, ,,
1,136,180,154.78, ,,
2,128,185,156.46, ,,
3,126,191,154.52, ,,
4,129,182,157.4, ,,
5,133,182,155.42, ,,
6,135,183,158, ,,
7,123,183,154.12, ,,
8,135,178,157.82, ,,
9,133,180,154.94, ,,
10,131,185,152.54, ,,
11,118,182,154.16, ,,
12,134,183,155.94, ,,
13,126,179,153.12, ,,
14,130,184,152.54, ,,
15,131,184,153.82, ,,
16,131,211,157.58, ,,
17,121,184,153.72, ,,
18,135,183,154.54, ,,
19,131,184,157.9, ,,
20,132,176,153.88, ,,
21,133,171,153.42, ,,
22,133,177,154, ,,
23,133,177,153.04, ,,
24,127,195,151.3, ,,
25,125,175,150.92, ,,
26,129,181,155.06, ,,
27,131,179,153.26, ,,
28,124,188,152.92, ,,
29,130,185,153.76, ,,
30,133,188,156.98, ,,
31,131,170,153.2, ,,
32,125,178,152.26, ,,
33,126,179,151.1, ,,
34,130,184,152.14, ,,
35,125,173,151.34, ,,
36,120,184,150.14, ,,
37,132,170,151.26, ,,
38,127,177,150.62, ,,
39,124,185,149.56, ,,
40,129,177,151.98, ,,
41,122,192,155.48, ,,
42,133,182,153.1, ,,
43,127,196,152.88, ,,
44,127,181,151.92, ,,
45,126,178,153.06, ,,
46,125,189,154.16, ,,
47,135,192,153.64, ,,
48,131,178,154.02, ,,
49,115,197,153.26, ,,
50,136,193,154.22, ,,
51,126,187,150.92, ,,
52,123,195,150.9, ,,
53,132,185,154.54, ,,
54,126,181,150.7, ,,
55,129,178,151.46, ,,
56,125,175,154.54, ,,
57,128,171,150.18, ,,
58,127,175,151.8, ,,
59,132,188,154.3, ,,
60,134,172,152.9, ,,
61,118,184,150.46, ,,
62,131,187,154.4, ,,
63,128,181,152.4, ,,
64,129,184,155.36, ,,
65,112,183,152.58, ,,
66,125,197,155.24, ,,
67,129,183,154.96, ,,
68,127,186,151.04, ,,
69,131,177,152.04, ,,
70,121,175,149.48, ,,
71,122,186,154.56, ,,
72,123,176,151.6, ,,
73,115,185,153, ,,
74,122,176,151.52, ,,
75,134,183,155.18, ,,
76,130,176,151.8, ,,
77,127,177,150.52, ,,
78,132,177,152.74, ,,
79,129,201,153.84, ,,
80,124,184,151.18, ,,
81,128,187,150.56, ,,
82,125,181,151.82, ,,
83,132,172,153.36, ,,
84,121,177,152, ,,
85,132,183,152.76, ,,
86,132,180,151.94, ,,
87,130,181,155.66, ,,
88,122,186,154.26, ,,
89,126,176,151.58, ,,
90,121,192,150.14, ,,
91,121,174,151.86, ,,
92,134,175,152.54, ,,
93,121,177,153.04, ,,
94,129,179,148.92, ,,
95,123,176,150.14, ,,
96,128,182,151.58, ,,
97,128,174,150.82, ,,
98,125,172,149.04, ,,
99,122,183,151.28, ,,
100,129,181,150.92, ,,
101,120,181,151, ,,
102,128,175,149.7, ,,
103,135,171,152.6, ,,
104,132,182,153.84, ,,
105,128,191,150.7, ,,
106,126,178,150.58, ,,
107,123,184,150.8, ,,
108,132,175,152.02, ,,
109,127,181,152.08, ,,
110,126,176,151.2, ,,
111,116,177,151.34, ,,
112,131,184,154.18, ,,
113,129,195,153.02, ,,
114,116,175,150.24, ,,
115,117,182,150.62, ,,
116,120,186,152, ,,
117,125,172,151.5, ,,
118,125,183,153.64, ,,
119,123,193,152.48, ,,
120,129,176,150.56, ,,
121,120,178,150.82, ,,
122,123,181,150.8, ,,
123,131,178,151.68, ,,
124,131,178,150.96, ,,
125,134,183,153.48, ,,
126,127,200,151.14, ,,
127,127,172,151.2, ,,
128,125,172,149.46, ,,
129,128,179,147.68, ,,
130,134,185,152.28, ,,
131,110,177,150.88, ,,
132,124,181,150.6, ,,
133,130,190,149.6, ,,
134,126,171,151.62, ,,
135,128,186,149.94, ,,
136,116,177,146.44, ,,
137,127,175,150.78, ,,
138,127,191,153.78, ,,
139,126,177,152.14, ,,
140,126,185,152.02, ,,
141,118,179,149.36, ,,
142,119,182,153.5, ,,
143,124,176,150.9, ,,
144,132,180,154.84, ,,
145,131,177,152.44, ,,
146,131,183,154.76, ,,
147,123,179,150.54, ,,
148,128,179,148.98, ,,
149,126,190,153.98, ,,
150,128,199,153.74, ,,
151,128,182,151.24, ,,
152,127,179,153.1, ,,
153,129,177,152.96, ,,
154,129,182,152.98, ,,
155,129,196,152.68, ,,
156,124,176,151.76, ,,
157,122,187,152.92, ,,
158,119,171,149.36, ,,
159,126,180,153.76, ,,
160,129,187,154.34, ,,
161,126,185,148.9, ,,
162,122,176,153.46, ,,
163,127,178,152.62, ,,
164,123,174,150.8, ,,
165,123,178,149.1, ,,
166,127,173,151.36, ,,
167,126,179,154.74, ,,
168,117,184,151.2, ,,
169,127,183,150.84, ,,
170,128,184,154.3, ,,
171,129,178,151.4, ,,
172,129,184,148.68, ,,
173,116,182,151.74, ,,
174,119,176,151.84, ,,
175,134,180,152.86, ,,
176,132,197,151.88, ,,
177,123,182,149.24, ,,
178,130,181,148.68, ,,
179,128,179,151.38, ,,
180,130,190,154.24, ,,
181,123,177,152.14, ,,
182,120,180,149.58, ,,
183,125,187,148.8, ,,
184,124,191,150.34, ,,
185,124,177,150.02, ,,
186,122,193,152.4, ,,
187,130,204,154.92, ,,
188,130,187,154.32, ,,
189,130,169,151.4, ,,
190,119,177,151.22, ,,
191,123,177,150.66, ,,
192,130,170,150.46, ,,
193,130,188,154.18, ,,
194,128,187,154.2, ,,
195,117,171,152.24, ,,
196,128,183,152.72, ,,
197,123,186,152.78, ,,
198,128,181,150.82, ,,
199,121,187,151.46, ,,
200,124,196,152.76, ,,
201,119,173,148.34, ,,
202,122,184,152.9, ,,
203,121,186,151.86, ,,
204,125,178,150.52, ,,
205,134,175,153.22, ,,
206,117,196,153.74, ,,
207,125,192,154.02, ,,
208,130,174,152.82, ,,
209,122,191,151, ,,
210,127,189,154.82, ,,
211,128,182,152.58, ,,
212,125,181,154.5, ,,
213,121,189,153.74, ,,
214,128,183,153.78, ,,
215,131,183,152.46, ,,
216,125,178,153.58, ,,
217,123,179,152.52, ,,
218,122,186,150.58, ,,
219,133,190,150.6, ,,
220,128,203,153.04, ,,
221,128,172,150.26, ,,
222,125,176,151.12, ,,
223,115,181,149.84, ,,
224,127,180,150.58, ,,
225,125,182,150.5, ,,
226,134,188,152.92, ,,
227,132,178,153.82, ,,
228,126,175,151.32, ,,
229,127,186,151.04, ,,
230,120,176,151.42, ,,
231,115,180,151.34, ,,
232,118,178,151.86, ,,
233,129,202,153.8, ,,
234,129,184,156.2, ,,
235,125,174,150.22, ,,
236,122,185,153.9, ,,
237,129,188,152.5, ,,
238,124,178,150.8, ,,
239,129,182,150.48, ,,
240,131,181,155.08, ,,
241,125,186,151.02, ,,
242,127,180,152.44, ,,
243,128,188,152.18, ,,
244,127,193,154.42, ,,
245,124,181,147, ,,
246,132,175,149.84, ,,
247,128,182,156.36, ,,
248,123,178,149.7, ,,
249,125,185,149.36, ,,
250,120,186,150.32, ,,
251,112,181,150.92, ,,
252,126,181,151.78, ,,
253,130,188,153.7, ,,
254,126,187,152.96, ,,
255,121,192,154.32, ,,
256,129,186,151.76, ,,
257,126,181,151.44, ,,
258,126,179,150.38, ,,
259,131,177,150.44, ,,
260,129,177,151.78, ,,
261,123,181,151.06, ,,
262,127,174,150.88, ,,
263,121,177,150.84, ,,
264,133,180,154.36, ,,
265,129,188,151.38, ,,
266,120,179,153.7, ,,
267,127,178,154.14, ,,
268,128,183,154.64, ,,
269,125,195,154.56, ,,
270,121,178,149.88, ,,
271,120,189,153.5, ,,
272,128,177,151.8, ,,
273,122,192,151.46, ,,
274,116,187,148.26, ,,
275,130,184,153.6, ,,
276,123,177,150.6, ,,
277,120,178,149.14, ,,
278,124,177,152.06, ,,
279,126,186,154.28, ,,
280,131,184,152.74, ,,
281,122,171,148.36, ,,
282,125,182,153.1, ,,
283,124,196,153.58, ,,
284,127,185,154.56, ,,
285,128,186,151.98, ,,
286,123,179,148.9, ,,
287,123,173,149.34, ,,
288,119,179,152.2, ,,
289,124,189,149.4, ,,
290,115,179,148.44, ,,
291,133,182,153.7, ,,
292,125,193,151, ,,
293,122,180,148.1, ,,
294,126,196,150, ,,
295,128,182,151.26, ,,
296,126,178,151.06, ,,
297,119,181,151.06, ,,
298,126,189,152.08, ,,
299,136,180,152.9, ,,
300,129,177,152.1, ,,
301,123,176,151.5, ,,
302,127,182,153.24, ,,
303,124,183,154.74, ,,
304,121,187,152.08, ,,
305,123,181,151.18, ,,
306,117,196,150.5, ,,
307,126,174,148.5, ,,
308,121,179,147.66, ,,
309,126,182,149.28, ,,
310,127,172,149.72, ,,
311,131,181,152.6, ,,
312,129,176,150.18, ,,
313,126,170,147.6, ,,
314,117,180,147.48, ,,
315,126,189,152.46, ,,
316,119,185,149.74, ,,
317,130,174,150.94, ,,
318,133,185,152.72, ,,
319,114,192,150.1, ,,
320,126,180,149.82, ,,
321,120,195,149.86, ,,
322,123,190,155.52, ,,
323,121,170,149.96, ,,
324,125,181,152.6, ,,
325,116,180,154.46, ,,
326,126,183,149.8, ,,
327,121,182,149.92, ,,
328,118,190,154.78, ,,
329,123,169,148.6, ,,
330,127,171,150.8, ,,
331,130,180,152.14, ,,
332,125,175,149.2, ,,
333,122,175,148.48, ,,
334,126,186,151.9, ,,
335,118,189,150.02, ,,
336,131,191,150.02, ,,
337,124,184,153.24, ,,
338,127,180,152.82, ,,
339,123,179,151.88, ,,
340,127,177,150.02, ,,
341,132,183,151.36, ,,
342,128,188,152.7, ,,
343,127,182,151.46, ,,
344,126,172,150.32, ,,
345,124,183,152.82, ,,
346,122,204,150.94, ,,
347,119,181,153.08, ,,
348,117,180,151.64, ,,
349,130,183,151.8, ,,
350,126,194,150.48, ,,
351,124,173,147.04, ,,
352,125,198,153.72, ,,
353,127,177,149.36, ,,
354,134,186,152.62, ,,
355,114,178,147.9, ,,
356,124,178,148.9, ,,
357,123,176,151, ,,
358,124,169,149.38, ,,
359,123,179,149.72, ,,
360,126,187,151.14, ,,
361,121,185,148.54, ,,
362,126,191,152, ,,
363,117,182,149.76, ,,
364,111,185,149.46, ,,
365,125,193,151.18, ,,
366,121,177,151.7, ,,
367,131,184,150.88, ,,
368,127,191,151.7, ,,
369,119,178,151.38, ,,
370,120,187,149.34, ,,
371,125,172,151.04, ,,
372,128,179,148.98, ,,
373,120,174,147.6, ,,
374,111,196,147.98, ,,
375,129,178,153.06, ,,
376,125,169,149.48, ,,
377,128,178,150, ,,
378,126,178,150.46, ,,
379,133,177,152.04, ,,
380,123,190,150.82, ,,
381,124,186,149.5, ,,
382,125,184,149.72, ,,
383,127,177,154, ,,
384,122,180,150.08, ,,
385,122,173,146.92, ,,
386,127,179,148.34, ,,
387,125,171,147.42, ,,
388,117,174,148.32, ,,
389,127,183,151.84, ,,
390,129,179,151.64, ,,
391,121,180,150.36, ,,
392,128,183,151.66, ,,
393,119,184,153.2, ,,
394,117,179,151.7, ,,
395,118,175,150.46, ,,
396,125,190,150.08, ,,
397,129,181,151.8, ,,
398,130,177,153.24, ,,
399,125,183,149.94, ,,
400,126,176,149.08, ,,
401,130,198,151.9, ,,
402,126,177,150.7, ,,
403,117,178,148.52, ,,
404,123,177,151.08, ,,
405,126,172,148.94, ,,
406,124,178,150.28, ,,
407,128,172,150.06, ,,
408,118,181,152.96, ,,
409,131,197,151.94, ,,
410,124,179,151.3, ,,
411,123,178,148.62, ,,
412,129,178,150.44, ,,
413,118,186,151.34, ,,
414,128,175,148.68, ,,
415,132,179,152.88, ,,
416,126,191,151.1, ,,
417,118,176,148.5, ,,
418,117,176,147.1, ,,
419,132,195,151.26, ,,
420,128,191,149.86, ,,
421,124,186,149.9, ,,
422,112,182,153.06, ,,
423,128,183,152.14, ,,
424,125,182,152.24, ,,
425,131,184,153.18, ,,
426,127,173,151.02, ,,
427,126,193,155.52, ,,
428,114,183,148.96, ,,
429,127,176,154.44, ,,
430,123,178,153.64, ,,
431,126,183,152.02, ,,
432,116,190,149.22, ,,
433,126,187,153.32, ,,
434,128,180,152.64, ,,
435,126,196,152.48, ,,
436,121,176,147.44, ,,
437,131,177,151.84, ,,
438,129,192,151.98, ,,
439,129,184,155.74, ,,
440,118,180,150.38, ,,
441,124,180,151.06, ,,
442,127,187,153.82, ,,
443,133,189,153.78, ,,
444,125,179,152.16, ,,
445,124,178,150.08, ,,
446,123,176,150.6, ,,
447,119,180,149.66, ,,
448,109,182,147.38, ,,
449,113,176,150.48, ,,
450,123,181,153.16, ,,
451,120,179,153.66, ,,
452,120,194,153.84, ,,
453,127,181,150.92, ,,
454,116,177,146.22, ,,
455,129,191,151.84, ,,
456,119,182,148.64, ,,
457,123,177,150.96, ,,
458,119,183,152.96, ,,
459,122,195,151.64, ,,
460,131,179,150.6, ,,
461,120,182,152.68, ,,
462,125,179,152.08, ,,
463,124,177,149.84, ,,
464,124,175,149.2, ,,
465,132,183,155.32, ,,
466,127,193,154.02, ,,
467,129,178,151.3, ,,
468,127,182,150.06, ,,
469,129,187,151.36, ,,
470,129,177,148.8, ,,
471,129,186,150.5, ,,
472,113,177,151.14, ,,
473,127,175,150.94, ,,
474,130,180,153.04, ,,
475,128,177,151.44, ,,
476,124,183,152.84, ,,
477,119,181,152.3, ,,
478,132,180,152.44, ,,
479,118,183,152.26, ,,
480,121,192,151.4, ,,
481,120,181,154.32, ,,
482,121,184,150.42, ,,
483,126,191,151.56, ,,
484,126,182,155, ,,
485,130,178,155.42, ,,
486,126,192,149.96, ,,
487,124,181,150.26, ,,
488,120,189,149.1, ,,
489,127,176,153.58, ,,
490,119,174,150.56, ,,
491,123,178,151.3, ,,
492,122,174,149.06, ,,
493,118,174,151.24, ,,
494,129,174,154, ,,
495,130,172,152.18, ,,
496,120,176,154.3, ,,
497,124,184,150.22, ,,
498,132,185,153.52, ,,
499,124,197,150.76, ,,
500,124,175,150.4, ,,
501,127,179,151.76, ,,
502,130,176,152, ,,
503,121,179,150.92, ,,
504,128,176,150.42, ,,
505,127,188,152.98, ,,
506,119,184,153.32, ,,
507,127,183,149.98, ,,
508,128,182,151.62, ,,
509,123,174,151.06, ,,
510,131,182,152.4, ,,
511,118,182,151.8, ,,
512,117,178,147.96, ,,
513,121,184,150.42, ,,
514,126,172,147.44, ,,
515,122,182,153.14, ,,
516,121,173,149.1, ,,
517,123,176,152.96, ,,
518,127,185,150.2, ,,
519,112,168,149.9, ,,
520,130,177,151.74, ,,
521,128,179,151.74, ,,
522,121,176,151.3, ,,
523,122,176,151.58, ,,
524,124,178,150.94, ,,
525,129,192,151.66, ,,
526,124,179,151.62, ,,
527,129,184,153.48, ,,
528,125,175,150.92, ,,
529,128,179,152.5, ,,
530,115,181,149.66, ,,
531,122,182,150.8, ,,
532,119,181,153.04, ,,
533,124,193,150.96, ,,
534,122,174,150.14, ,,
535,119,184,153.98, ,,
536,122,177,149.62, ,,
537,120,180,151.76, ,,
538,131,174,151.62, ,,
539,123,187,152.4, ,,
540,117,178,153.04, ,,
541,130,177,151.42, ,,
542,124,184,154.12, ,,
543,120,181,153.16, ,,
544,119,187,154.66, ,,
545,120,191,152.98, ,,
546,128,196,155.88, ,,
547,124,173,151.84, ,,
548,119,196,154.86, ,,
549,123,181,151.06, ,,
550,124,184,152.08, ,,
551,120,184,151.94, ,,
552,133,179,151.24, ,,
553,131,182,153.48, ,,
554,118,176,150.82, ,,
555,126,182,150.96, ,,
556,129,182,149.32, ,,
557,116,181,150.7, ,,
558,116,186,150.58, ,,
559,121,184,151.58, ,,
560,128,188,150.98, ,,
561,125,185,153.96, ,,
562,127,179,151.42, ,,
563,124,171,151.02, ,,
564,129,178,151.64, ,,
565,121,193,153.82, ,,
