Machine = 10,Job = 5,Task = 60,Ant = 25,
Sedai , Best , Bad , Average 
0 , 139.0 , 189.0 , 157.12 , 
1 , 141.0 , 181.0 , 159.36 , 
2 , 142.0 , 179.0 , 160.72 , 
3 , 132.0 , 200.0 , 160.2 , 
4 , 137.0 , 186.0 , 160.32 , 
5 , 135.0 , 171.0 , 155.0 , 
6 , 132.0 , 182.0 , 160.64 , 
7 , 133.0 , 179.0 , 157.4 , 
8 , 138.0 , 173.0 , 157.72 , 
9 , 138.0 , 188.0 , 160.12 , 
10 , 132.0 , 179.0 , 156.48 , 
11 , 140.0 , 175.0 , 152.4 , 
12 , 137.0 , 184.0 , 156.68 , 
13 , 131.0 , 199.0 , 156.6 , 
14 , 139.0 , 181.0 , 160.84 , 
15 , 136.0 , 184.0 , 159.56 , 
16 , 136.0 , 183.0 , 158.16 , 
17 , 132.0 , 172.0 , 153.56 , 
18 , 134.0 , 177.0 , 157.16 , 
19 , 134.0 , 181.0 , 158.84 , 
20 , 136.0 , 184.0 , 156.44 , 
21 , 136.0 , 194.0 , 157.44 , 
22 , 135.0 , 177.0 , 158.44 , 
23 , 141.0 , 187.0 , 160.52 , 
24 , 138.0 , 169.0 , 154.04 , 
25 , 130.0 , 187.0 , 153.44 , 
26 , 134.0 , 177.0 , 155.32 , 
27 , 138.0 , 181.0 , 160.08 , 
28 , 131.0 , 189.0 , 157.44 , 
29 , 138.0 , 175.0 , 155.68 , 
30 , 141.0 , 180.0 , 155.76 , 
31 , 134.0 , 188.0 , 158.32 , 
32 , 126.0 , 185.0 , 159.68 , 
33 , 130.0 , 174.0 , 155.52 , 
34 , 137.0 , 194.0 , 156.2 , 
35 , 137.0 , 178.0 , 157.08 , 
36 , 135.0 , 178.0 , 153.52 , 
37 , 128.0 , 182.0 , 154.96 , 
38 , 132.0 , 187.0 , 159.08 , 
39 , 138.0 , 176.0 , 158.68 , 
40 , 130.0 , 189.0 , 158.96 , 
41 , 136.0 , 201.0 , 160.16 , 
42 , 120.0 , 183.0 , 153.04 , 
43 , 132.0 , 176.0 , 154.36 , 
44 , 145.0 , 196.0 , 161.96 , 
45 , 145.0 , 182.0 , 162.16 , 
46 , 135.0 , 190.0 , 160.32 , 
47 , 137.0 , 176.0 , 155.84 , 
48 , 133.0 , 184.0 , 156.0 , 
49 , 142.0 , 189.0 , 157.96 , 
50 , 139.0 , 180.0 , 157.64 , 
51 , 126.0 , 177.0 , 155.64 , 
52 , 128.0 , 186.0 , 156.72 , 
53 , 139.0 , 191.0 , 158.2 , 
54 , 141.0 , 177.0 , 158.2 , 
55 , 139.0 , 185.0 , 159.24 , 
56 , 137.0 , 179.0 , 157.88 , 
57 , 136.0 , 186.0 , 158.48 , 
58 , 136.0 , 175.0 , 157.64 , 
59 , 141.0 , 188.0 , 160.32 , 
60 , 129.0 , 173.0 , 155.44 , 
61 , 132.0 , 179.0 , 157.32 , 
62 , 132.0 , 182.0 , 158.56 , 
63 , 133.0 , 182.0 , 154.28 , 
64 , 130.0 , 184.0 , 156.96 , 
65 , 132.0 , 193.0 , 155.4 , 
66 , 132.0 , 186.0 , 158.8 , 
67 , 139.0 , 181.0 , 160.28 , 
68 , 142.0 , 188.0 , 160.32 , 
69 , 132.0 , 190.0 , 158.04 , 
70 , 136.0 , 177.0 , 155.8 , 
71 , 137.0 , 185.0 , 159.44 , 
72 , 126.0 , 174.0 , 155.68 , 
73 , 144.0 , 188.0 , 161.88 , 
74 , 128.0 , 164.0 , 153.2 , 
75 , 141.0 , 178.0 , 155.88 , 
76 , 140.0 , 174.0 , 156.76 , 
77 , 137.0 , 189.0 , 157.16 , 
78 , 137.0 , 188.0 , 158.72 , 
79 , 139.0 , 190.0 , 159.28 , 
80 , 130.0 , 180.0 , 158.76 , 
81 , 135.0 , 196.0 , 158.88 , 
82 , 133.0 , 175.0 , 157.12 , 
83 , 132.0 , 191.0 , 155.52 , 
84 , 132.0 , 181.0 , 155.88 , 
85 , 133.0 , 176.0 , 155.92 , 
86 , 136.0 , 185.0 , 155.92 , 
87 , 121.0 , 172.0 , 154.16 , 
88 , 137.0 , 172.0 , 153.72 , 
89 , 127.0 , 193.0 , 156.92 , 
90 , 132.0 , 180.0 , 156.68 , 
91 , 131.0 , 185.0 , 157.8 , 
92 , 138.0 , 181.0 , 160.36 , 
93 , 131.0 , 175.0 , 154.0 , 
94 , 135.0 , 192.0 , 157.12 , 
95 , 135.0 , 195.0 , 157.96 , 
96 , 130.0 , 175.0 , 153.92 , 
97 , 142.0 , 189.0 , 159.52 , 
98 , 130.0 , 189.0 , 160.12 , 
99 , 128.0 , 179.0 , 153.92 , 
100 , 135.0 , 186.0 , 157.28 , 
101 , 139.0 , 190.0 , 159.4 , 
102 , 129.0 , 187.0 , 156.48 , 
103 , 120.0 , 183.0 , 156.48 , 
104 , 130.0 , 176.0 , 156.84 , 
105 , 139.0 , 191.0 , 158.2 , 
106 , 135.0 , 172.0 , 155.2 , 
107 , 142.0 , 180.0 , 158.8 , 
108 , 132.0 , 173.0 , 154.92 , 
109 , 123.0 , 182.0 , 160.28 , 
110 , 137.0 , 188.0 , 159.2 , 
111 , 139.0 , 181.0 , 155.08 , 
112 , 146.0 , 181.0 , 160.04 , 
113 , 133.0 , 179.0 , 156.6 , 
114 , 134.0 , 195.0 , 157.84 , 
115 , 138.0 , 172.0 , 156.08 , 
116 , 140.0 , 173.0 , 156.6 , 
117 , 137.0 , 173.0 , 157.04 , 
118 , 138.0 , 174.0 , 156.92 , 
119 , 144.0 , 186.0 , 160.76 , 
120 , 141.0 , 190.0 , 159.68 , 
121 , 129.0 , 191.0 , 156.28 , 
122 , 134.0 , 183.0 , 159.36 , 
123 , 136.0 , 170.0 , 154.48 , 
124 , 131.0 , 175.0 , 155.8 , 
125 , 135.0 , 183.0 , 156.76 , 
126 , 135.0 , 174.0 , 153.76 , 
127 , 132.0 , 180.0 , 155.48 , 
128 , 135.0 , 178.0 , 156.92 , 
129 , 138.0 , 178.0 , 159.72 , 
130 , 133.0 , 185.0 , 155.52 , 
131 , 131.0 , 190.0 , 156.56 , 
132 , 135.0 , 188.0 , 158.04 , 
133 , 129.0 , 178.0 , 157.28 , 
134 , 132.0 , 184.0 , 158.64 , 
135 , 136.0 , 185.0 , 154.92 , 
136 , 132.0 , 191.0 , 155.88 , 
137 , 134.0 , 185.0 , 158.16 , 
138 , 138.0 , 185.0 , 156.8 , 
139 , 131.0 , 173.0 , 152.64 , 
140 , 135.0 , 185.0 , 155.52 , 
141 , 138.0 , 179.0 , 158.6 , 
142 , 132.0 , 191.0 , 162.08 , 
143 , 141.0 , 172.0 , 156.56 , 
144 , 134.0 , 180.0 , 157.92 , 
145 , 136.0 , 194.0 , 157.08 , 
146 , 131.0 , 193.0 , 157.08 , 
147 , 137.0 , 188.0 , 156.64 , 
148 , 125.0 , 170.0 , 153.72 , 
149 , 134.0 , 180.0 , 159.2 , 
150 , 140.0 , 186.0 , 159.64 , 
151 , 129.0 , 176.0 , 155.72 , 
152 , 128.0 , 183.0 , 154.36 , 
153 , 128.0 , 175.0 , 155.0 , 
154 , 141.0 , 175.0 , 158.88 , 
155 , 135.0 , 177.0 , 155.92 , 
156 , 137.0 , 192.0 , 157.84 , 
157 , 132.0 , 194.0 , 157.08 , 
158 , 126.0 , 194.0 , 158.68 , 
159 , 129.0 , 183.0 , 155.8 , 
160 , 135.0 , 187.0 , 159.84 , 
161 , 136.0 , 178.0 , 155.92 , 
162 , 136.0 , 186.0 , 159.24 , 
163 , 138.0 , 178.0 , 158.52 , 
164 , 128.0 , 177.0 , 154.16 , 
165 , 130.0 , 180.0 , 157.32 , 
166 , 139.0 , 179.0 , 157.12 , 
167 , 126.0 , 192.0 , 161.68 , 
168 , 141.0 , 185.0 , 159.68 , 
169 , 130.0 , 182.0 , 155.12 , 
170 , 143.0 , 195.0 , 156.6 , 
171 , 137.0 , 178.0 , 156.44 , 
172 , 138.0 , 186.0 , 161.2 , 
173 , 127.0 , 182.0 , 156.92 , 
174 , 145.0 , 182.0 , 158.04 , 
175 , 134.0 , 191.0 , 157.24 , 
176 , 132.0 , 197.0 , 164.0 , 
177 , 135.0 , 187.0 , 157.12 , 
178 , 129.0 , 178.0 , 153.32 , 
179 , 136.0 , 177.0 , 152.56 , 
180 , 138.0 , 186.0 , 158.84 , 
181 , 136.0 , 179.0 , 156.0 , 
182 , 131.0 , 201.0 , 159.4 , 
183 , 136.0 , 185.0 , 160.4 , 
184 , 124.0 , 168.0 , 155.84 , 
185 , 136.0 , 184.0 , 162.04 , 
186 , 142.0 , 183.0 , 161.56 , 
187 , 122.0 , 177.0 , 154.68 , 
188 , 136.0 , 191.0 , 155.84 , 
189 , 135.0 , 181.0 , 155.88 , 
190 , 141.0 , 168.0 , 155.8 , 
191 , 138.0 , 179.0 , 159.76 , 
192 , 141.0 , 177.0 , 156.72 , 
193 , 137.0 , 178.0 , 159.6 , 
194 , 132.0 , 175.0 , 154.84 , 
195 , 135.0 , 178.0 , 156.12 , 
196 , 137.0 , 179.0 , 155.76 , 
197 , 137.0 , 173.0 , 153.24 , 
198 , 131.0 , 180.0 , 157.72 , 
199 , 140.0 , 184.0 , 162.08 , 
200 , 133.0 , 181.0 , 161.04 , 
