Machine = 6,Job = 8,Task = 18,Ant = 50,
Sedai , Best ,, Bad , Average 
0 , 97.0 , 134.0 , 112.9 , 
1 , 88.0 , 136.0 , 111.0 , 
2 , 92.0 , 126.0 , 109.76 , 
3 , 91.0 , 130.0 , 109.24 , 
4 , 90.0 , 137.0 , 108.08 , 
5 , 85.0 , 126.0 , 106.22 , 
6 , 80.0 , 131.0 , 104.54 , 
7 , 80.0 , 124.0 , 100.06 , 
8 , 83.0 , 117.0 , 98.22 , 
9 , 76.0 , 118.0 , 97.8 , 
10 , 82.0 , 122.0 , 95.38 , 
11 , 81.0 , 106.0 , 93.1 , 
12 , 79.0 , 114.0 , 91.8 , 
13 , 75.0 , 108.0 , 89.86 , 
14 , 69.0 , 104.0 , 86.54 , 
15 , 74.0 , 103.0 , 88.08 , 
16 , 73.0 , 98.0 , 86.58 , 
17 , 75.0 , 102.0 , 87.7 , 
18 , 68.0 , 105.0 , 84.9 , 
19 , 69.0 , 105.0 , 85.98 , 
20 , 70.0 , 94.0 , 83.72 , 
21 , 70.0 , 101.0 , 84.28 , 
22 , 72.0 , 96.0 , 84.64 , 
23 , 69.0 , 108.0 , 84.14 , 
24 , 70.0 , 96.0 , 83.04 , 
25 , 69.0 , 102.0 , 84.42 , 
26 , 66.0 , 98.0 , 81.96 , 
27 , 68.0 , 99.0 , 82.4 , 
28 , 70.0 , 97.0 , 83.56 , 
29 , 70.0 , 100.0 , 81.8 , 
30 , 69.0 , 94.0 , 80.26 , 
31 , 70.0 , 98.0 , 82.62 , 
32 , 70.0 , 98.0 , 81.42 , 
33 , 69.0 , 94.0 , 79.38 , 
34 , 68.0 , 100.0 , 81.08 , 
35 , 68.0 , 91.0 , 81.18 , 
36 , 70.0 , 95.0 , 80.8 , 
37 , 69.0 , 100.0 , 81.1 , 
38 , 66.0 , 94.0 , 80.18 , 
39 , 64.0 , 94.0 , 79.88 , 
40 , 69.0 , 99.0 , 78.72 , 
41 , 70.0 , 92.0 , 79.3 , 
42 , 64.0 , 88.0 , 78.34 , 
43 , 71.0 , 93.0 , 79.68 , 
44 , 69.0 , 93.0 , 78.16 , 
45 , 66.0 , 91.0 , 77.8 , 
46 , 63.0 , 97.0 , 77.9 , 
47 , 63.0 , 96.0 , 77.8 , 
48 , 65.0 , 99.0 , 79.32 , 
49 , 67.0 , 91.0 , 77.68 , 
50 , 65.0 , 88.0 , 77.98 , 
51 , 63.0 , 89.0 , 78.34 , 
52 , 65.0 , 95.0 , 76.56 , 
53 , 67.0 , 91.0 , 77.3 , 
54 , 66.0 , 93.0 , 78.18 , 
55 , 65.0 , 95.0 , 76.72 , 
56 , 61.0 , 92.0 , 76.44 , 
57 , 64.0 , 89.0 , 76.44 , 
58 , 67.0 , 93.0 , 76.86 , 
59 , 66.0 , 89.0 , 77.16 , 
60 , 68.0 , 87.0 , 77.08 , 
61 , 65.0 , 86.0 , 74.84 , 
62 , 64.0 , 93.0 , 76.68 , 
63 , 65.0 , 88.0 , 74.44 , 
64 , 60.0 , 89.0 , 76.5 , 
65 , 64.0 , 84.0 , 74.26 , 
66 , 60.0 , 90.0 , 75.22 , 
67 , 61.0 , 89.0 , 75.24 , 
68 , 68.0 , 90.0 , 75.3 , 
69 , 66.0 , 92.0 , 75.6 , 
70 , 59.0 , 84.0 , 73.8 , 
71 , 67.0 , 87.0 , 75.5 , 
72 , 61.0 , 89.0 , 75.2 , 
73 , 61.0 , 89.0 , 73.22 , 
74 , 65.0 , 87.0 , 75.34 , 
75 , 64.0 , 85.0 , 72.1 , 
76 , 64.0 , 86.0 , 74.82 , 
77 , 65.0 , 86.0 , 74.88 , 
78 , 66.0 , 90.0 , 74.1 , 
79 , 64.0 , 86.0 , 76.12 , 
80 , 63.0 , 88.0 , 74.34 , 
81 , 62.0 , 85.0 , 73.88 , 
82 , 65.0 , 83.0 , 73.2 , 
83 , 61.0 , 85.0 , 72.62 , 
84 , 65.0 , 90.0 , 74.26 , 
85 , 63.0 , 85.0 , 73.56 , 
86 , 60.0 , 86.0 , 72.74 , 
87 , 64.0 , 84.0 , 72.12 , 
88 , 63.0 , 88.0 , 72.64 , 
89 , 63.0 , 85.0 , 73.66 , 
90 , 62.0 , 86.0 , 72.38 , 
91 , 60.0 , 84.0 , 71.9 , 
92 , 61.0 , 81.0 , 72.04 , 
93 , 63.0 , 87.0 , 73.22 , 
94 , 65.0 , 86.0 , 73.96 , 
95 , 64.0 , 85.0 , 73.04 , 
96 , 59.0 , 89.0 , 73.1 , 
97 , 63.0 , 88.0 , 73.5 , 
98 , 58.0 , 85.0 , 73.14 , 
99 , 60.0 , 87.0 , 72.84 , 
100 , 57.0 , 84.0 , 71.86 , 
101 , 61.0 , 82.0 , 72.12 , 
102 , 60.0 , 98.0 , 74.42 , 
103 , 63.0 , 89.0 , 73.08 , 
104 , 61.0 , 89.0 , 74.36 , 
105 , 63.0 , 82.0 , 71.4 , 
106 , 62.0 , 84.0 , 71.82 , 
107 , 60.0 , 87.0 , 72.44 , 
108 , 60.0 , 91.0 , 70.84 , 
109 , 63.0 , 90.0 , 73.46 , 
110 , 62.0 , 89.0 , 72.68 , 
111 , 63.0 , 87.0 , 72.62 , 
112 , 60.0 , 85.0 , 72.36 , 
113 , 63.0 , 81.0 , 71.06 , 
114 , 60.0 , 86.0 , 71.8 , 
115 , 61.0 , 88.0 , 71.7 , 
116 , 58.0 , 85.0 , 71.14 , 
117 , 63.0 , 80.0 , 70.48 , 
118 , 61.0 , 85.0 , 71.98 , 
119 , 60.0 , 88.0 , 70.4 , 
120 , 59.0 , 84.0 , 70.8 , 
121 , 60.0 , 81.0 , 69.76 , 
122 , 60.0 , 92.0 , 70.7 , 
123 , 60.0 , 84.0 , 70.56 , 
124 , 58.0 , 86.0 , 71.38 , 
125 , 59.0 , 81.0 , 69.58 , 
126 , 60.0 , 81.0 , 69.06 , 
127 , 59.0 , 83.0 , 69.68 , 
128 , 58.0 , 84.0 , 70.58 , 
129 , 61.0 , 89.0 , 70.2 , 
130 , 61.0 , 85.0 , 70.32 , 
131 , 60.0 , 83.0 , 70.8 , 
132 , 59.0 , 89.0 , 69.58 , 
133 , 59.0 , 85.0 , 68.82 , 
134 , 57.0 , 78.0 , 69.12 , 
135 , 60.0 , 85.0 , 70.46 , 
136 , 59.0 , 79.0 , 69.74 , 
137 , 59.0 , 81.0 , 68.44 , 
138 , 63.0 , 85.0 , 70.4 , 
139 , 57.0 , 82.0 , 68.56 , 
140 , 60.0 , 84.0 , 69.44 , 
141 , 59.0 , 84.0 , 69.28 , 
142 , 57.0 , 85.0 , 69.18 , 
143 , 59.0 , 79.0 , 68.66 , 
144 , 58.0 , 82.0 , 68.98 , 
145 , 56.0 , 76.0 , 68.14 , 
146 , 62.0 , 80.0 , 69.7 , 
147 , 59.0 , 88.0 , 69.08 , 
148 , 61.0 , 77.0 , 68.66 , 
149 , 58.0 , 82.0 , 69.68 , 
150 , 53.0 , 79.0 , 67.26 , 
151 , 59.0 , 77.0 , 67.58 , 
152 , 59.0 , 81.0 , 68.1 , 
153 , 58.0 , 87.0 , 68.86 , 
154 , 58.0 , 83.0 , 68.66 , 
155 , 59.0 , 85.0 , 68.66 , 
156 , 58.0 , 84.0 , 68.1 , 
157 , 58.0 , 80.0 , 67.32 , 
158 , 58.0 , 78.0 , 67.5 , 
159 , 58.0 , 86.0 , 68.52 , 
160 , 59.0 , 83.0 , 67.6 , 
161 , 58.0 , 86.0 , 67.18 , 
162 , 58.0 , 77.0 , 67.64 , 
163 , 59.0 , 83.0 , 68.18 , 
164 , 59.0 , 81.0 , 68.18 , 
165 , 56.0 , 79.0 , 68.08 , 
166 , 57.0 , 86.0 , 68.32 , 
167 , 58.0 , 77.0 , 67.38 , 
168 , 57.0 , 81.0 , 68.18 , 
169 , 58.0 , 80.0 , 68.16 , 
170 , 60.0 , 76.0 , 67.44 , 
171 , 61.0 , 81.0 , 67.66 , 
172 , 58.0 , 79.0 , 67.3 , 
173 , 59.0 , 78.0 , 67.5 , 
174 , 59.0 , 78.0 , 66.66 , 
175 , 58.0 , 75.0 , 67.28 , 
176 , 60.0 , 75.0 , 65.6 , 
177 , 61.0 , 78.0 , 68.06 , 
178 , 56.0 , 78.0 , 66.88 , 
179 , 57.0 , 85.0 , 67.64 , 
180 , 56.0 , 77.0 , 67.52 , 
181 , 58.0 , 77.0 , 66.74 , 
182 , 58.0 , 77.0 , 66.9 , 
183 , 58.0 , 79.0 , 67.62 , 
184 , 60.0 , 75.0 , 66.84 , 
185 , 58.0 , 78.0 , 68.06 , 
186 , 57.0 , 81.0 , 68.82 , 
187 , 58.0 , 87.0 , 67.5 , 
188 , 56.0 , 79.0 , 66.96 , 
189 , 57.0 , 77.0 , 66.92 , 
190 , 59.0 , 82.0 , 66.14 , 
191 , 60.0 , 77.0 , 67.22 , 
192 , 55.0 , 78.0 , 66.54 , 
193 , 58.0 , 78.0 , 67.16 , 
194 , 57.0 , 81.0 , 66.92 , 
195 , 54.0 , 75.0 , 66.28 , 
196 , 58.0 , 77.0 , 68.16 , 
197 , 58.0 , 80.0 , 66.42 , 
198 , 55.0 , 75.0 , 66.22 , 
199 , 59.0 , 82.0 , 66.8 , 
200 , 55.0 , 79.0 , 67.04 , 
201 , 58.0 , 80.0 , 65.9 , 
202 , 60.0 , 78.0 , 66.94 , 
203 , 59.0 , 79.0 , 67.44 , 
204 , 57.0 , 79.0 , 66.62 , 
205 , 59.0 , 77.0 , 66.8 , 
206 , 57.0 , 78.0 , 66.64 , 
207 , 53.0 , 82.0 , 66.58 , 
208 , 53.0 , 79.0 , 67.04 , 
209 , 59.0 , 77.0 , 65.86 , 
210 , 58.0 , 82.0 , 67.9 , 
211 , 58.0 , 78.0 , 66.0 , 
212 , 58.0 , 76.0 , 65.84 , 
213 , 56.0 , 75.0 , 66.84 , 
214 , 55.0 , 75.0 , 66.64 , 
215 , 58.0 , 83.0 , 66.9 , 
216 , 55.0 , 76.0 , 65.96 , 
217 , 54.0 , 78.0 , 66.22 , 
218 , 56.0 , 79.0 , 66.36 , 
219 , 57.0 , 78.0 , 66.68 , 
220 , 56.0 , 84.0 , 65.6 , 
221 , 58.0 , 79.0 , 66.5 , 
222 , 58.0 , 77.0 , 66.54 , 
223 , 57.0 , 76.0 , 65.2 , 
224 , 58.0 , 78.0 , 67.38 , 
225 , 57.0 , 74.0 , 66.1 , 
226 , 57.0 , 78.0 , 66.86 , 
227 , 57.0 , 83.0 , 66.52 , 
228 , 55.0 , 81.0 , 64.78 , 
229 , 55.0 , 77.0 , 66.84 , 
230 , 57.0 , 80.0 , 65.46 , 
231 , 57.0 , 76.0 , 65.24 , 
232 , 59.0 , 80.0 , 67.18 , 
233 , 54.0 , 80.0 , 65.62 , 
234 , 55.0 , 74.0 , 65.56 , 
235 , 57.0 , 86.0 , 65.62 , 
236 , 56.0 , 78.0 , 65.88 , 
237 , 57.0 , 75.0 , 65.36 , 
238 , 57.0 , 79.0 , 65.94 , 
239 , 57.0 , 80.0 , 65.94 , 
240 , 58.0 , 78.0 , 65.76 , 
241 , 54.0 , 77.0 , 66.36 , 
242 , 59.0 , 78.0 , 66.5 , 
243 , 58.0 , 76.0 , 64.9 , 
244 , 55.0 , 79.0 , 66.18 , 
245 , 56.0 , 75.0 , 65.78 , 
246 , 57.0 , 76.0 , 64.66 , 
247 , 57.0 , 81.0 , 65.74 , 
248 , 56.0 , 75.0 , 65.0 , 
249 , 57.0 , 76.0 , 65.74 , 
250 , 56.0 , 84.0 , 65.18 , 
251 , 58.0 , 79.0 , 65.96 , 
252 , 58.0 , 80.0 , 66.52 , 
253 , 55.0 , 77.0 , 65.34 , 
254 , 55.0 , 81.0 , 65.48 , 
255 , 57.0 , 82.0 , 65.3 , 
256 , 56.0 , 77.0 , 65.92 , 
257 , 56.0 , 72.0 , 64.12 , 
258 , 55.0 , 78.0 , 65.04 , 
259 , 57.0 , 80.0 , 67.58 , 
260 , 56.0 , 78.0 , 66.88 , 
261 , 57.0 , 84.0 , 65.36 , 
262 , 58.0 , 73.0 , 65.76 , 
263 , 57.0 , 78.0 , 66.3 , 
264 , 55.0 , 75.0 , 64.32 , 
265 , 58.0 , 80.0 , 65.0 , 
266 , 58.0 , 73.0 , 64.76 , 
267 , 58.0 , 77.0 , 66.0 , 
268 , 55.0 , 73.0 , 64.86 , 
269 , 58.0 , 75.0 , 64.52 , 
270 , 56.0 , 81.0 , 66.22 , 
271 , 57.0 , 80.0 , 65.56 , 
272 , 58.0 , 82.0 , 66.04 , 
273 , 57.0 , 78.0 , 65.4 , 
274 , 56.0 , 80.0 , 64.38 , 
275 , 56.0 , 74.0 , 65.1 , 
276 , 57.0 , 74.0 , 65.54 , 
277 , 57.0 , 82.0 , 66.08 , 
278 , 55.0 , 77.0 , 66.02 , 
279 , 53.0 , 80.0 , 65.46 , 
280 , 53.0 , 74.0 , 65.3 , 
281 , 57.0 , 76.0 , 65.48 , 
282 , 55.0 , 80.0 , 65.0 , 
283 , 55.0 , 82.0 , 64.5 , 
284 , 57.0 , 74.0 , 64.64 , 
285 , 56.0 , 75.0 , 65.7 , 
286 , 57.0 , 75.0 , 65.02 , 
287 , 52.0 , 74.0 , 64.54 , 
288 , 56.0 , 81.0 , 65.34 , 
289 , 56.0 , 84.0 , 64.54 , 
290 , 56.0 , 77.0 , 65.42 , 
291 , 58.0 , 79.0 , 65.66 , 
292 , 56.0 , 80.0 , 64.9 , 
293 , 56.0 , 74.0 , 64.36 , 
294 , 55.0 , 78.0 , 63.88 , 
295 , 55.0 , 78.0 , 65.38 , 
296 , 54.0 , 76.0 , 65.2 , 
297 , 57.0 , 83.0 , 64.78 , 
298 , 56.0 , 76.0 , 65.7 , 
299 , 54.0 , 76.0 , 64.9 , 
300 , 55.0 , 72.0 , 64.32 , 
301 , 56.0 , 85.0 , 65.2 , 
302 , 55.0 , 84.0 , 64.78 , 
303 , 54.0 , 81.0 , 65.22 , 
304 , 58.0 , 76.0 , 64.44 , 
305 , 56.0 , 74.0 , 63.76 , 
306 , 55.0 , 75.0 , 63.72 , 
307 , 55.0 , 71.0 , 64.08 , 
308 , 57.0 , 81.0 , 65.44 , 
309 , 56.0 , 84.0 , 64.14 , 
310 , 56.0 , 76.0 , 64.82 , 
311 , 57.0 , 77.0 , 64.72 , 
312 , 54.0 , 77.0 , 65.56 , 
313 , 53.0 , 81.0 , 64.68 , 
314 , 56.0 , 74.0 , 64.76 , 
315 , 55.0 , 74.0 , 64.02 , 
316 , 56.0 , 76.0 , 64.36 , 
317 , 54.0 , 74.0 , 64.3 , 
318 , 57.0 , 79.0 , 65.36 , 
319 , 56.0 , 83.0 , 65.58 , 
320 , 56.0 , 76.0 , 64.82 , 
321 , 55.0 , 75.0 , 64.36 , 
322 , 53.0 , 69.0 , 62.42 , 
323 , 58.0 , 72.0 , 64.66 , 
324 , 54.0 , 77.0 , 64.46 , 
325 , 56.0 , 74.0 , 64.02 , 
326 , 58.0 , 75.0 , 64.28 , 
327 , 56.0 , 77.0 , 64.68 , 
328 , 54.0 , 82.0 , 64.72 , 
329 , 58.0 , 78.0 , 64.9 , 
330 , 55.0 , 73.0 , 63.62 , 
331 , 55.0 , 77.0 , 65.46 , 
332 , 56.0 , 78.0 , 64.46 , 
333 , 55.0 , 74.0 , 63.36 , 
334 , 55.0 , 79.0 , 64.48 , 
335 , 56.0 , 73.0 , 63.06 , 
336 , 54.0 , 76.0 , 64.44 , 
337 , 57.0 , 76.0 , 63.86 , 
338 , 54.0 , 73.0 , 64.0 , 
339 , 56.0 , 73.0 , 63.32 , 
340 , 54.0 , 79.0 , 63.74 , 
341 , 57.0 , 78.0 , 65.18 , 
342 , 55.0 , 72.0 , 63.26 , 
343 , 56.0 , 79.0 , 64.1 , 
