Machine = 5,Job = 5,Task = 12,Ant = 50,
Sedai , Best ,, Bad , Average 
0 , 51.0 , 73.0 , 63.06 , 
1 , 52.0 , 80.0 , 61.94 , 
2 , 51.0 , 77.0 , 63.28 , 
3 , 51.0 , 77.0 , 65.28 , 
4 , 53.0 , 76.0 , 63.72 , 
5 , 47.0 , 75.0 , 61.7 , 
6 , 52.0 , 75.0 , 63.1 , 
7 , 49.0 , 74.0 , 60.96 , 
8 , 46.0 , 80.0 , 61.72 , 
9 , 51.0 , 75.0 , 61.82 , 
10 , 50.0 , 77.0 , 61.64 , 
11 , 51.0 , 76.0 , 62.26 , 
12 , 49.0 , 73.0 , 61.02 , 
13 , 50.0 , 72.0 , 60.78 , 
14 , 51.0 , 75.0 , 62.26 , 
15 , 51.0 , 77.0 , 62.24 , 
16 , 50.0 , 71.0 , 60.82 , 
17 , 50.0 , 73.0 , 60.68 , 
18 , 51.0 , 74.0 , 60.7 , 
19 , 49.0 , 71.0 , 60.26 , 
20 , 48.0 , 73.0 , 59.3 , 
21 , 50.0 , 73.0 , 60.14 , 
22 , 46.0 , 78.0 , 59.98 , 
23 , 43.0 , 77.0 , 58.44 , 
24 , 44.0 , 72.0 , 60.4 , 
25 , 50.0 , 69.0 , 58.96 , 
26 , 45.0 , 71.0 , 58.32 , 
27 , 44.0 , 76.0 , 59.28 , 
28 , 47.0 , 70.0 , 57.38 , 
29 , 48.0 , 68.0 , 58.32 , 
30 , 47.0 , 73.0 , 60.4 , 
31 , 49.0 , 69.0 , 58.48 , 
32 , 52.0 , 69.0 , 58.9 , 
33 , 48.0 , 81.0 , 57.84 , 
34 , 48.0 , 67.0 , 57.54 , 
35 , 48.0 , 73.0 , 58.24 , 
36 , 46.0 , 79.0 , 57.94 , 
37 , 46.0 , 71.0 , 57.86 , 
38 , 46.0 , 69.0 , 56.8 , 
39 , 46.0 , 67.0 , 57.88 , 
40 , 49.0 , 66.0 , 57.7 , 
41 , 43.0 , 70.0 , 55.8 , 
42 , 43.0 , 68.0 , 56.14 , 
43 , 42.0 , 64.0 , 54.68 , 
44 , 49.0 , 70.0 , 56.82 , 
45 , 48.0 , 67.0 , 55.84 , 
46 , 46.0 , 65.0 , 56.52 , 
47 , 44.0 , 66.0 , 55.76 , 
48 , 45.0 , 69.0 , 56.16 , 
49 , 45.0 , 73.0 , 55.52 , 
50 , 48.0 , 70.0 , 56.36 , 
51 , 47.0 , 68.0 , 56.48 , 
52 , 43.0 , 69.0 , 55.62 , 
53 , 48.0 , 70.0 , 55.88 , 
54 , 40.0 , 69.0 , 55.62 , 
55 , 44.0 , 73.0 , 55.72 , 
56 , 47.0 , 68.0 , 55.1 , 
57 , 42.0 , 68.0 , 55.48 , 
58 , 46.0 , 71.0 , 55.92 , 
