Machine = 10,Job = 5,Task = 60,Ant = 50,
Sedai , Best , Bad , Average 
0 , 136.0 , 189.0 , 158.78 , 
1 , 133.0 , 198.0 , 157.2 , 
2 , 126.0 , 186.0 , 156.0 , 
3 , 127.0 , 182.0 , 156.76 , 
4 , 124.0 , 188.0 , 156.2 , 
5 , 126.0 , 186.0 , 155.96 , 
6 , 129.0 , 180.0 , 154.02 , 
7 , 135.0 , 177.0 , 153.48 , 
8 , 131.0 , 193.0 , 157.46 , 
9 , 121.0 , 191.0 , 154.64 , 
10 , 132.0 , 193.0 , 157.9 , 
11 , 130.0 , 179.0 , 152.48 , 
12 , 132.0 , 179.0 , 156.0 , 
13 , 132.0 , 192.0 , 158.74 , 
14 , 132.0 , 182.0 , 156.56 , 
15 , 130.0 , 192.0 , 156.08 , 
16 , 128.0 , 173.0 , 150.88 , 
17 , 127.0 , 181.0 , 154.72 , 
18 , 130.0 , 182.0 , 155.38 , 
19 , 127.0 , 185.0 , 152.12 , 
20 , 133.0 , 184.0 , 155.48 , 
21 , 130.0 , 185.0 , 154.12 , 
22 , 128.0 , 187.0 , 153.22 , 
23 , 132.0 , 184.0 , 156.82 , 
24 , 126.0 , 188.0 , 153.82 , 
25 , 127.0 , 189.0 , 152.72 , 
26 , 133.0 , 175.0 , 153.38 , 
27 , 131.0 , 188.0 , 157.4 , 
28 , 130.0 , 182.0 , 154.06 , 
29 , 121.0 , 177.0 , 154.4 , 
30 , 133.0 , 182.0 , 152.66 , 
31 , 132.0 , 178.0 , 154.06 , 
32 , 131.0 , 187.0 , 156.86 , 
33 , 130.0 , 178.0 , 153.48 , 
34 , 128.0 , 184.0 , 152.4 , 
35 , 128.0 , 179.0 , 154.8 , 
36 , 130.0 , 191.0 , 154.98 , 
37 , 135.0 , 183.0 , 155.56 , 
38 , 129.0 , 180.0 , 155.46 , 
39 , 127.0 , 181.0 , 156.44 , 
40 , 119.0 , 179.0 , 150.56 , 
41 , 129.0 , 185.0 , 156.94 , 
42 , 128.0 , 178.0 , 154.26 , 
43 , 119.0 , 189.0 , 156.0 , 
