Machine = 10,Job = 5,Task = 60,Ant = 50,
Sedai , Best , Bad , Average 
0 , 66.0 , 107.0 , 92.0 , 
1 , 76.0 , 100.0 , 88.1 , 
2 , 73.0 , 111.0 , 90.84 , 
3 , 74.0 , 112.0 , 90.36 , 
4 , 71.0 , 107.0 , 90.8 , 
5 , 77.0 , 108.0 , 90.8 , 
6 , 76.0 , 109.0 , 89.96 , 
7 , 76.0 , 112.0 , 90.4 , 
8 , 73.0 , 107.0 , 88.82 , 
9 , 75.0 , 105.0 , 89.18 , 
10 , 72.0 , 113.0 , 89.26 , 
11 , 71.0 , 116.0 , 87.5 , 
12 , 71.0 , 109.0 , 87.56 , 
13 , 72.0 , 112.0 , 88.72 , 
14 , 71.0 , 106.0 , 85.62 , 
15 , 62.0 , 102.0 , 85.24 , 
16 , 68.0 , 104.0 , 85.04 , 
17 , 72.0 , 105.0 , 87.02 , 
18 , 71.0 , 105.0 , 86.34 , 
19 , 71.0 , 101.0 , 85.22 , 
20 , 67.0 , 110.0 , 85.3 , 
21 , 74.0 , 108.0 , 87.44 , 
22 , 68.0 , 105.0 , 86.72 , 
23 , 69.0 , 106.0 , 86.28 , 
24 , 71.0 , 106.0 , 87.28 , 
25 , 67.0 , 125.0 , 85.46 , 
26 , 68.0 , 112.0 , 86.68 , 
27 , 72.0 , 108.0 , 86.82 , 
28 , 69.0 , 104.0 , 86.44 , 
29 , 69.0 , 106.0 , 85.64 , 
30 , 73.0 , 96.0 , 85.42 , 
31 , 71.0 , 113.0 , 84.82 , 
32 , 70.0 , 99.0 , 85.38 , 
33 , 67.0 , 112.0 , 85.94 , 
34 , 67.0 , 104.0 , 87.08 , 
35 , 70.0 , 105.0 , 84.48 , 
36 , 70.0 , 108.0 , 86.74 , 
37 , 67.0 , 101.0 , 84.02 , 
38 , 73.0 , 106.0 , 86.3 , 
39 , 72.0 , 102.0 , 83.74 , 
40 , 71.0 , 111.0 , 84.68 , 
41 , 70.0 , 104.0 , 86.52 , 
42 , 73.0 , 106.0 , 87.76 , 
43 , 66.0 , 103.0 , 85.0 , 
44 , 65.0 , 111.0 , 85.24 , 
45 , 68.0 , 103.0 , 84.96 , 
46 , 69.0 , 109.0 , 84.44 , 
47 , 69.0 , 99.0 , 84.68 , 
48 , 67.0 , 99.0 , 84.5 , 
49 , 71.0 , 100.0 , 86.06 , 
50 , 72.0 , 96.0 , 83.8 , 
51 , 73.0 , 103.0 , 85.2 , 
52 , 71.0 , 104.0 , 86.66 , 
53 , 69.0 , 102.0 , 86.3 , 
54 , 71.0 , 118.0 , 86.48 , 
55 , 66.0 , 114.0 , 86.62 , 
56 , 73.0 , 104.0 , 84.8 , 
57 , 69.0 , 103.0 , 83.18 , 
58 , 70.0 , 104.0 , 84.68 , 
59 , 67.0 , 99.0 , 83.6 , 
60 , 68.0 , 110.0 , 86.3 , 
61 , 71.0 , 102.0 , 84.88 , 
62 , 69.0 , 98.0 , 82.86 , 
63 , 68.0 , 106.0 , 84.56 , 
64 , 68.0 , 100.0 , 85.86 , 
65 , 71.0 , 106.0 , 86.56 , 
66 , 65.0 , 111.0 , 83.32 , 
67 , 72.0 , 105.0 , 84.54 , 
