Machine = 10,Job = 5,Task = 60,Ant = 50,
Sedai , Best , Bad , Average 
0 , 82.0 , 111.0 , 95.88 , 
1 , 75.0 , 108.0 , 89.36 , 
2 , 76.0 , 107.0 , 90.56 , 
3 , 75.0 , 106.0 , 89.16 , 
4 , 75.0 , 112.0 , 89.76 , 
5 , 73.0 , 106.0 , 89.88 , 
6 , 67.0 , 127.0 , 90.66 , 
7 , 72.0 , 113.0 , 88.7 , 
8 , 74.0 , 112.0 , 88.38 , 
9 , 71.0 , 104.0 , 86.98 , 
10 , 73.0 , 112.0 , 88.26 , 
11 , 72.0 , 107.0 , 87.34 , 
12 , 76.0 , 109.0 , 90.38 , 
13 , 68.0 , 101.0 , 85.94 , 
14 , 72.0 , 116.0 , 87.62 , 
15 , 69.0 , 106.0 , 86.64 , 
16 , 71.0 , 111.0 , 88.16 , 
17 , 71.0 , 105.0 , 87.5 , 
18 , 73.0 , 108.0 , 88.18 , 
19 , 74.0 , 104.0 , 87.8 , 
20 , 71.0 , 108.0 , 88.78 , 
21 , 67.0 , 102.0 , 85.92 , 
22 , 75.0 , 115.0 , 87.96 , 
23 , 67.0 , 103.0 , 86.78 , 
24 , 73.0 , 107.0 , 88.1 , 
25 , 67.0 , 104.0 , 85.5 , 
26 , 60.0 , 107.0 , 85.94 , 
27 , 72.0 , 105.0 , 86.0 , 
28 , 70.0 , 112.0 , 85.84 , 
29 , 71.0 , 105.0 , 86.84 , 
30 , 67.0 , 102.0 , 86.5 , 
31 , 70.0 , 105.0 , 87.56 , 
32 , 77.0 , 105.0 , 87.1 , 
33 , 74.0 , 100.0 , 88.62 , 
34 , 68.0 , 100.0 , 87.02 , 
35 , 73.0 , 105.0 , 86.52 , 
36 , 76.0 , 103.0 , 87.3 , 
37 , 72.0 , 105.0 , 85.52 , 
38 , 69.0 , 105.0 , 86.56 , 
39 , 72.0 , 112.0 , 87.88 , 
40 , 75.0 , 107.0 , 86.88 , 
41 , 69.0 , 108.0 , 86.22 , 
42 , 74.0 , 103.0 , 86.66 , 
43 , 72.0 , 102.0 , 87.3 , 
44 , 69.0 , 100.0 , 84.98 , 
45 , 73.0 , 110.0 , 86.6 , 
46 , 71.0 , 98.0 , 84.3 , 
47 , 69.0 , 106.0 , 84.98 , 
48 , 66.0 , 106.0 , 85.94 , 
