Machine = 10,Job = 5,Task = 60,Ant = 25,
Sedai , Best , Bad , Average 
0 , 140.0 , 178.0 , 156.52 , 
1 , 134.0 , 188.0 , 156.8 , 
2 , 135.0 , 178.0 , 155.12 , 
3 , 134.0 , 187.0 , 154.04 , 
4 , 136.0 , 174.0 , 156.68 , 
5 , 137.0 , 180.0 , 160.36 , 
6 , 137.0 , 188.0 , 158.68 , 
7 , 137.0 , 179.0 , 156.36 , 
8 , 140.0 , 183.0 , 157.24 , 
9 , 126.0 , 176.0 , 153.84 , 
10 , 137.0 , 183.0 , 155.56 , 
11 , 139.0 , 182.0 , 158.0 , 
12 , 134.0 , 182.0 , 155.0 , 
13 , 135.0 , 190.0 , 157.36 , 
14 , 132.0 , 187.0 , 153.96 , 
15 , 124.0 , 196.0 , 156.88 , 
16 , 137.0 , 174.0 , 156.52 , 
17 , 143.0 , 184.0 , 158.2 , 
18 , 132.0 , 182.0 , 158.64 , 
19 , 133.0 , 180.0 , 153.72 , 
20 , 141.0 , 171.0 , 155.96 , 
21 , 135.0 , 181.0 , 156.4 , 
22 , 140.0 , 179.0 , 160.32 , 
23 , 135.0 , 186.0 , 159.28 , 
24 , 129.0 , 187.0 , 159.88 , 
25 , 140.0 , 187.0 , 157.12 , 
26 , 141.0 , 180.0 , 157.16 , 
27 , 134.0 , 180.0 , 152.96 , 
28 , 129.0 , 171.0 , 152.52 , 
29 , 146.0 , 176.0 , 160.12 , 
30 , 138.0 , 180.0 , 156.52 , 
31 , 130.0 , 191.0 , 160.48 , 
32 , 137.0 , 191.0 , 159.72 , 
33 , 120.0 , 184.0 , 156.12 , 
34 , 126.0 , 183.0 , 157.52 , 
35 , 130.0 , 175.0 , 156.2 , 
36 , 128.0 , 173.0 , 155.68 , 
37 , 132.0 , 194.0 , 152.64 , 
38 , 135.0 , 173.0 , 155.52 , 
39 , 123.0 , 183.0 , 154.32 , 
40 , 134.0 , 179.0 , 153.56 , 
41 , 131.0 , 185.0 , 155.88 , 
42 , 132.0 , 178.0 , 153.76 , 
43 , 135.0 , 185.0 , 156.2 , 
44 , 135.0 , 179.0 , 157.0 , 
45 , 126.0 , 175.0 , 153.0 , 
46 , 134.0 , 183.0 , 156.44 , 
47 , 133.0 , 181.0 , 154.8 , 
48 , 133.0 , 195.0 , 155.32 , 
49 , 133.0 , 175.0 , 156.2 , 
50 , 133.0 , 187.0 , 162.2 , 
51 , 138.0 , 179.0 , 156.44 , 
52 , 134.0 , 170.0 , 156.16 , 
53 , 132.0 , 187.0 , 158.6 , 
54 , 134.0 , 180.0 , 160.12 , 
55 , 136.0 , 175.0 , 153.12 , 
56 , 131.0 , 183.0 , 156.0 , 
57 , 135.0 , 175.0 , 155.92 , 
58 , 137.0 , 178.0 , 158.68 , 
59 , 134.0 , 180.0 , 156.64 , 
60 , 136.0 , 183.0 , 157.4 , 
61 , 132.0 , 167.0 , 151.6 , 
62 , 132.0 , 170.0 , 150.0 , 
63 , 140.0 , 177.0 , 156.12 , 
64 , 125.0 , 187.0 , 155.8 , 
65 , 137.0 , 194.0 , 155.28 , 
66 , 137.0 , 169.0 , 151.84 , 
67 , 134.0 , 180.0 , 153.12 , 
68 , 138.0 , 174.0 , 155.04 , 
69 , 136.0 , 178.0 , 153.96 , 
70 , 141.0 , 180.0 , 156.12 , 
71 , 136.0 , 179.0 , 154.8 , 
72 , 129.0 , 188.0 , 154.8 , 
73 , 129.0 , 190.0 , 154.04 , 
74 , 132.0 , 182.0 , 157.2 , 
75 , 134.0 , 184.0 , 154.24 , 
76 , 130.0 , 183.0 , 157.76 , 
77 , 132.0 , 184.0 , 154.04 , 
78 , 144.0 , 183.0 , 159.16 , 
79 , 125.0 , 190.0 , 154.6 , 
80 , 133.0 , 186.0 , 158.68 , 
81 , 132.0 , 167.0 , 153.04 , 
82 , 134.0 , 185.0 , 157.56 , 
83 , 134.0 , 182.0 , 154.4 , 
84 , 134.0 , 182.0 , 156.0 , 
85 , 148.0 , 173.0 , 158.0 , 
86 , 136.0 , 176.0 , 153.96 , 
87 , 131.0 , 165.0 , 151.68 , 
88 , 136.0 , 196.0 , 152.76 , 
89 , 125.0 , 179.0 , 155.96 , 
90 , 133.0 , 177.0 , 156.04 , 
91 , 130.0 , 173.0 , 153.2 , 
92 , 136.0 , 194.0 , 157.48 , 
93 , 134.0 , 178.0 , 153.96 , 
94 , 138.0 , 189.0 , 155.76 , 
95 , 124.0 , 166.0 , 147.52 , 
96 , 137.0 , 170.0 , 154.92 , 
97 , 139.0 , 185.0 , 156.84 , 
98 , 133.0 , 192.0 , 153.52 , 
99 , 135.0 , 181.0 , 155.24 , 
100 , 121.0 , 191.0 , 151.52 , 
101 , 133.0 , 181.0 , 154.56 , 
102 , 141.0 , 178.0 , 158.2 , 
103 , 122.0 , 175.0 , 150.28 , 
104 , 132.0 , 193.0 , 160.52 , 
105 , 128.0 , 180.0 , 156.48 , 
106 , 127.0 , 177.0 , 152.12 , 
107 , 140.0 , 182.0 , 156.96 , 
108 , 133.0 , 188.0 , 155.6 , 
109 , 135.0 , 176.0 , 153.56 , 
110 , 133.0 , 173.0 , 148.32 , 
111 , 136.0 , 186.0 , 157.76 , 
112 , 132.0 , 181.0 , 155.44 , 
113 , 140.0 , 187.0 , 158.72 , 
114 , 135.0 , 178.0 , 160.12 , 
115 , 133.0 , 180.0 , 154.72 , 
116 , 136.0 , 165.0 , 151.44 , 
117 , 132.0 , 177.0 , 157.56 , 
118 , 126.0 , 182.0 , 154.44 , 
119 , 136.0 , 176.0 , 155.84 , 
120 , 132.0 , 178.0 , 156.12 , 
121 , 125.0 , 180.0 , 149.76 , 
122 , 133.0 , 176.0 , 158.28 , 
123 , 136.0 , 193.0 , 158.8 , 
124 , 127.0 , 175.0 , 150.8 , 
125 , 126.0 , 179.0 , 155.36 , 
126 , 131.0 , 186.0 , 155.92 , 
127 , 133.0 , 177.0 , 151.84 , 
128 , 119.0 , 182.0 , 152.8 , 
129 , 136.0 , 176.0 , 156.04 , 
130 , 132.0 , 199.0 , 151.36 , 
131 , 124.0 , 175.0 , 153.4 , 
132 , 131.0 , 185.0 , 158.16 , 
133 , 131.0 , 173.0 , 151.96 , 
134 , 125.0 , 182.0 , 157.52 , 
135 , 131.0 , 185.0 , 156.92 , 
136 , 132.0 , 176.0 , 154.72 , 
137 , 132.0 , 192.0 , 158.52 , 
138 , 129.0 , 189.0 , 158.72 , 
139 , 139.0 , 179.0 , 158.88 , 
140 , 138.0 , 174.0 , 154.52 , 
141 , 135.0 , 182.0 , 156.88 , 
142 , 130.0 , 182.0 , 152.96 , 
143 , 137.0 , 172.0 , 152.84 , 
144 , 128.0 , 187.0 , 154.24 , 
145 , 121.0 , 191.0 , 156.32 , 
146 , 129.0 , 175.0 , 149.44 , 
147 , 131.0 , 168.0 , 151.88 , 
148 , 125.0 , 176.0 , 153.16 , 
149 , 138.0 , 183.0 , 153.84 , 
150 , 136.0 , 178.0 , 156.48 , 
151 , 132.0 , 184.0 , 154.08 , 
152 , 127.0 , 180.0 , 151.4 , 
153 , 126.0 , 177.0 , 152.32 , 
154 , 136.0 , 174.0 , 154.32 , 
155 , 139.0 , 174.0 , 153.64 , 
156 , 126.0 , 175.0 , 150.72 , 
157 , 133.0 , 183.0 , 157.56 , 
158 , 128.0 , 183.0 , 156.08 , 
159 , 141.0 , 183.0 , 160.04 , 
160 , 134.0 , 179.0 , 155.48 , 
161 , 136.0 , 180.0 , 155.44 , 
162 , 137.0 , 188.0 , 159.16 , 
163 , 131.0 , 178.0 , 158.68 , 
164 , 127.0 , 188.0 , 156.96 , 
165 , 126.0 , 171.0 , 153.96 , 
166 , 121.0 , 203.0 , 156.32 , 
167 , 124.0 , 173.0 , 149.2 , 
168 , 129.0 , 177.0 , 153.48 , 
169 , 137.0 , 185.0 , 157.8 , 
170 , 128.0 , 173.0 , 149.36 , 
171 , 120.0 , 179.0 , 154.56 , 
172 , 142.0 , 187.0 , 154.52 , 
173 , 134.0 , 175.0 , 153.28 , 
174 , 139.0 , 174.0 , 153.52 , 
175 , 125.0 , 195.0 , 157.32 , 
176 , 132.0 , 181.0 , 155.04 , 
177 , 133.0 , 175.0 , 152.6 , 
178 , 135.0 , 179.0 , 154.44 , 
179 , 134.0 , 176.0 , 152.56 , 
180 , 133.0 , 176.0 , 152.28 , 
181 , 134.0 , 168.0 , 151.56 , 
182 , 131.0 , 191.0 , 154.76 , 
183 , 130.0 , 177.0 , 153.24 , 
184 , 138.0 , 178.0 , 155.96 , 
185 , 127.0 , 180.0 , 157.04 , 
186 , 145.0 , 184.0 , 156.4 , 
187 , 132.0 , 210.0 , 154.08 , 
188 , 135.0 , 179.0 , 156.36 , 
189 , 136.0 , 178.0 , 152.56 , 
190 , 133.0 , 184.0 , 154.6 , 
191 , 122.0 , 194.0 , 153.36 , 
192 , 139.0 , 174.0 , 153.44 , 
193 , 130.0 , 174.0 , 154.64 , 
194 , 128.0 , 174.0 , 153.72 , 
195 , 122.0 , 182.0 , 154.12 , 
196 , 124.0 , 179.0 , 152.2 , 
197 , 130.0 , 179.0 , 154.04 , 
198 , 130.0 , 182.0 , 153.92 , 
199 , 134.0 , 182.0 , 156.8 , 
200 , 133.0 , 185.0 , 156.68 , 
201 , 131.0 , 171.0 , 150.96 , 
202 , 132.0 , 178.0 , 154.24 , 
203 , 132.0 , 183.0 , 155.96 , 
204 , 129.0 , 187.0 , 155.28 , 
205 , 126.0 , 175.0 , 154.8 , 
206 , 137.0 , 183.0 , 153.0 , 
207 , 135.0 , 177.0 , 156.76 , 
208 , 134.0 , 173.0 , 152.16 , 
209 , 133.0 , 173.0 , 151.28 , 
210 , 129.0 , 181.0 , 153.92 , 
211 , 130.0 , 183.0 , 152.4 , 
212 , 140.0 , 185.0 , 156.36 , 
213 , 127.0 , 172.0 , 152.52 , 
214 , 129.0 , 178.0 , 161.16 , 
215 , 134.0 , 189.0 , 156.52 , 
216 , 123.0 , 171.0 , 151.56 , 
217 , 134.0 , 178.0 , 154.4 , 
218 , 143.0 , 187.0 , 159.6 , 
219 , 134.0 , 179.0 , 152.16 , 
220 , 134.0 , 179.0 , 155.16 , 
221 , 137.0 , 175.0 , 154.2 , 
222 , 135.0 , 180.0 , 152.72 , 
223 , 124.0 , 193.0 , 157.32 , 
224 , 128.0 , 204.0 , 158.04 , 
225 , 120.0 , 179.0 , 155.04 , 
226 , 129.0 , 175.0 , 151.0 , 
227 , 135.0 , 176.0 , 152.96 , 
228 , 126.0 , 187.0 , 148.84 , 
229 , 140.0 , 189.0 , 156.84 , 
230 , 126.0 , 183.0 , 151.12 , 
231 , 133.0 , 178.0 , 155.96 , 
232 , 136.0 , 192.0 , 159.28 , 
233 , 131.0 , 180.0 , 153.44 , 
234 , 123.0 , 181.0 , 153.2 , 
235 , 126.0 , 180.0 , 153.16 , 
236 , 136.0 , 191.0 , 156.92 , 
237 , 134.0 , 176.0 , 151.72 , 
238 , 132.0 , 189.0 , 155.12 , 
239 , 130.0 , 188.0 , 154.52 , 
240 , 134.0 , 187.0 , 152.0 , 
241 , 129.0 , 193.0 , 156.24 , 
242 , 131.0 , 177.0 , 154.56 , 
243 , 129.0 , 173.0 , 153.24 , 
244 , 135.0 , 182.0 , 154.12 , 
245 , 128.0 , 168.0 , 153.44 , 
246 , 133.0 , 180.0 , 156.4 , 
247 , 137.0 , 177.0 , 154.36 , 
248 , 130.0 , 174.0 , 152.76 , 
249 , 134.0 , 185.0 , 160.24 , 
250 , 134.0 , 187.0 , 154.48 , 
251 , 130.0 , 181.0 , 154.88 , 
252 , 134.0 , 179.0 , 155.32 , 
253 , 138.0 , 176.0 , 153.52 , 
254 , 135.0 , 205.0 , 158.28 , 
255 , 129.0 , 200.0 , 154.68 , 
256 , 133.0 , 181.0 , 156.44 , 
257 , 128.0 , 173.0 , 151.28 , 
258 , 118.0 , 182.0 , 155.52 , 
259 , 127.0 , 185.0 , 153.6 , 
260 , 136.0 , 178.0 , 151.76 , 
261 , 137.0 , 185.0 , 155.72 , 
262 , 132.0 , 183.0 , 153.08 , 
263 , 134.0 , 185.0 , 156.76 , 
264 , 133.0 , 184.0 , 153.36 , 
265 , 137.0 , 186.0 , 153.24 , 
266 , 140.0 , 183.0 , 158.32 , 
267 , 128.0 , 183.0 , 152.56 , 
268 , 131.0 , 175.0 , 151.12 , 
269 , 124.0 , 175.0 , 152.92 , 
270 , 127.0 , 175.0 , 154.68 , 
271 , 141.0 , 187.0 , 156.52 , 
272 , 128.0 , 174.0 , 154.48 , 
273 , 133.0 , 181.0 , 154.56 , 
274 , 131.0 , 172.0 , 152.48 , 
275 , 138.0 , 177.0 , 155.04 , 
276 , 124.0 , 186.0 , 155.24 , 
277 , 132.0 , 197.0 , 156.6 , 
278 , 141.0 , 188.0 , 156.76 , 
279 , 137.0 , 177.0 , 157.28 , 
280 , 137.0 , 179.0 , 156.84 , 
281 , 128.0 , 179.0 , 153.2 , 
282 , 132.0 , 175.0 , 154.48 , 
283 , 128.0 , 167.0 , 151.32 , 
284 , 135.0 , 173.0 , 153.0 , 
285 , 131.0 , 170.0 , 150.56 , 
286 , 133.0 , 178.0 , 154.08 , 
287 , 132.0 , 178.0 , 155.48 , 
288 , 138.0 , 184.0 , 158.44 , 
289 , 130.0 , 179.0 , 154.8 , 
290 , 115.0 , 177.0 , 151.28 , 
291 , 138.0 , 177.0 , 156.8 , 
292 , 131.0 , 178.0 , 152.48 , 
293 , 127.0 , 182.0 , 153.88 , 
294 , 136.0 , 186.0 , 154.8 , 
295 , 127.0 , 171.0 , 149.48 , 
296 , 133.0 , 175.0 , 154.68 , 
297 , 132.0 , 179.0 , 152.24 , 
298 , 138.0 , 170.0 , 154.32 , 
299 , 133.0 , 183.0 , 153.56 , 
300 , 132.0 , 172.0 , 151.24 , 
301 , 124.0 , 184.0 , 154.8 , 
302 , 138.0 , 193.0 , 156.04 , 
303 , 131.0 , 183.0 , 157.6 , 
304 , 131.0 , 180.0 , 153.32 , 
305 , 136.0 , 176.0 , 154.12 , 
306 , 130.0 , 174.0 , 147.8 , 
307 , 137.0 , 172.0 , 152.52 , 
308 , 138.0 , 191.0 , 161.6 , 
309 , 134.0 , 172.0 , 153.72 , 
310 , 125.0 , 179.0 , 153.52 , 
311 , 137.0 , 176.0 , 157.44 , 
312 , 132.0 , 218.0 , 157.52 , 
313 , 134.0 , 195.0 , 155.92 , 
314 , 132.0 , 167.0 , 149.24 , 
315 , 126.0 , 178.0 , 154.8 , 
316 , 143.0 , 185.0 , 158.48 , 
317 , 130.0 , 170.0 , 147.72 , 
318 , 132.0 , 180.0 , 154.12 , 
319 , 131.0 , 180.0 , 153.28 , 
320 , 131.0 , 179.0 , 156.76 , 
321 , 140.0 , 188.0 , 158.04 , 
322 , 140.0 , 171.0 , 156.16 , 
323 , 135.0 , 173.0 , 152.96 , 
324 , 135.0 , 177.0 , 155.36 , 
325 , 127.0 , 185.0 , 153.12 , 
326 , 128.0 , 189.0 , 156.56 , 
327 , 129.0 , 176.0 , 154.08 , 
328 , 131.0 , 176.0 , 149.88 , 
329 , 129.0 , 174.0 , 157.08 , 
330 , 132.0 , 185.0 , 155.6 , 
331 , 127.0 , 180.0 , 156.72 , 
332 , 133.0 , 184.0 , 157.4 , 
333 , 127.0 , 189.0 , 151.44 , 
334 , 140.0 , 182.0 , 154.52 , 
335 , 127.0 , 184.0 , 155.12 , 
336 , 138.0 , 167.0 , 153.68 , 
337 , 125.0 , 187.0 , 157.8 , 
338 , 139.0 , 181.0 , 156.92 , 
339 , 134.0 , 188.0 , 152.88 , 
340 , 131.0 , 189.0 , 157.0 , 
341 , 126.0 , 179.0 , 153.28 , 
342 , 133.0 , 173.0 , 152.8 , 
343 , 128.0 , 180.0 , 152.84 , 
344 , 127.0 , 178.0 , 152.76 , 
345 , 133.0 , 181.0 , 154.68 , 
346 , 139.0 , 175.0 , 154.8 , 
347 , 143.0 , 180.0 , 156.4 , 
