Machine= 5,Job= 5,Task= 12,Ant= 50,
K, Best, Bad , Average
0,62.0,87.0,73.14,
1,59.0,85.0,72.28,
2,63.0,85.0,71.64,
3,60.0,86.0,70.44,
4,54.0,93.0,71.44,
5,59.0,93.0,72.38,
6,63.0,85.0,71.52,
7,57.0,81.0,70.32,
8,57.0,83.0,69.98,
9,62.0,88.0,70.88,
10,59.0,83.0,69.3,
11,54.0,84.0,69.82,
12,59.0,89.0,70.06,
13,56.0,82.0,69.3,
14,54.0,82.0,68.9,
15,57.0,83.0,68.66,
16,55.0,78.0,68.72,
17,60.0,85.0,69.92,
18,59.0,82.0,68.38,
19,52.0,78.0,67.76,
20,55.0,81.0,67.5,
21,57.0,76.0,66.94,
22,52.0,79.0,66.54,
23,55.0,77.0,66.92,
24,52.0,88.0,66.56,
25,50.0,81.0,67.64,
26,55.0,79.0,66.16,
27,55.0,80.0,66.58,
28,55.0,80.0,66.14,
29,53.0,77.0,65.98,
30,56.0,87.0,67.38,
31,54.0,77.0,65.5,
32,53.0,83.0,66.06,
33,55.0,76.0,63.18,
34,55.0,80.0,66.42,
35,52.0,81.0,65.08,
36,56.0,81.0,64.74,
37,53.0,79.0,64.5,
38,52.0,79.0,64.58,
39,54.0,79.0,64.36,
40,50.0,72.0,62.84,
41,53.0,78.0,62.5,
42,51.0,74.0,62.64,
43,53.0,76.0,63.48,
44,52.0,74.0,63.48,
45,55.0,75.0,63.52,
46,51.0,74.0,62.74,
47,50.0,75.0,61.46,
48,51.0,75.0,62.1,
49,51.0,74.0,61.78,
50,52.0,73.0,62.08,
51,50.0,78.0,61.08,
52,50.0,76.0,63.24,
53,53.0,78.0,62.68,
54,54.0,72.0,62.12,
55,52.0,71.0,61.42,
56,50.0,76.0,62.2,
57,51.0,76.0,61.18,
58,49.0,71.0,60.14,
59,50.0,73.0,60.66,
60,50.0,72.0,60.66,
61,50.0,78.0,59.58,
62,51.0,76.0,62.22,
63,49.0,73.0,60.78,
64,52.0,75.0,60.86,
65,46.0,73.0,59.58,
66,50.0,70.0,59.68,
67,50.0,69.0,59.82,
68,49.0,71.0,60.0,
69,49.0,68.0,60.16,
70,48.0,73.0,58.86,
71,53.0,69.0,59.5,
72,52.0,68.0,58.78,
73,50.0,71.0,58.54,
74,51.0,73.0,58.98,
75,51.0,71.0,58.52,
76,51.0,71.0,58.02,
77,49.0,71.0,58.76,
78,48.0,75.0,57.48,
79,50.0,71.0,58.22,
80,49.0,68.0,58.8,
81,48.0,73.0,57.72,
82,51.0,67.0,58.38,
83,47.0,67.0,57.36,
84,51.0,68.0,58.62,
85,47.0,73.0,57.4,
86,49.0,67.0,59.4,
87,50.0,69.0,58.04,
88,50.0,70.0,58.8,
89,49.0,73.0,58.82,
90,48.0,67.0,57.1,
91,49.0,68.0,57.96,
92,48.0,72.0,58.1,
93,47.0,66.0,57.9,
94,49.0,71.0,57.74,
95,48.0,74.0,58.42,
96,50.0,73.0,57.34,
97,49.0,66.0,59.06,
98,49.0,68.0,57.66,
99,47.0,66.0,56.62,
100,48.0,67.0,57.02,
101,50.0,74.0,57.96,
102,48.0,75.0,58.28,
103,48.0,66.0,56.56,
104,47.0,72.0,58.04,
105,49.0,70.0,57.58,
106,50.0,67.0,57.48,
107,48.0,67.0,57.08,
108,50.0,67.0,57.38,
109,47.0,69.0,57.42,
110,47.0,65.0,56.06,
111,49.0,69.0,57.74,
112,50.0,70.0,57.54,
113,49.0,64.0,56.48,
114,49.0,72.0,57.3,
115,48.0,65.0,56.88,
116,50.0,66.0,57.2,
117,47.0,66.0,56.8,
118,48.0,68.0,56.9,
119,48.0,66.0,55.58,
120,49.0,70.0,56.44,
121,49.0,70.0,55.96,
122,47.0,67.0,55.84,
123,47.0,65.0,56.26,
124,45.0,63.0,56.16,
125,47.0,66.0,56.28,
126,49.0,69.0,56.46,
127,48.0,62.0,55.38,
128,47.0,64.0,54.52,
129,45.0,67.0,56.64,
130,49.0,63.0,55.5,
131,47.0,68.0,56.34,
132,49.0,64.0,55.64,
133,50.0,63.0,56.06,
134,47.0,71.0,55.24,
135,48.0,64.0,55.48,
136,45.0,63.0,54.74,
137,48.0,62.0,54.7,
138,47.0,66.0,54.76,
139,46.0,63.0,54.54,
140,47.0,65.0,54.44,
141,46.0,70.0,54.78,
142,46.0,61.0,53.22,
143,46.0,68.0,54.6,
144,46.0,64.0,54.4,
145,45.0,61.0,53.2,
146,44.0,63.0,54.38,
147,47.0,61.0,53.36,
148,46.0,67.0,53.76,
149,48.0,61.0,54.06,
150,46.0,64.0,53.76,
151,48.0,65.0,53.78,
152,47.0,63.0,53.72,
153,45.0,62.0,53.66,
154,46.0,67.0,54.96,
155,43.0,64.0,54.72,
156,47.0,67.0,53.14,
157,47.0,66.0,53.64,
158,45.0,63.0,53.94,
159,47.0,63.0,54.12,
160,47.0,67.0,53.84,
161,47.0,62.0,53.86,
162,45.0,66.0,53.4,
163,46.0,65.0,53.9,
164,45.0,63.0,53.38,
165,48.0,62.0,53.42,
166,47.0,60.0,53.46,
167,45.0,61.0,53.94,
168,45.0,61.0,53.26,
169,47.0,68.0,53.34,
170,45.0,64.0,52.78,
171,49.0,63.0,53.26,
172,46.0,66.0,54.3,
173,45.0,66.0,52.84,
174,45.0,63.0,53.96,
175,45.0,65.0,53.2,
176,47.0,63.0,52.94,
177,43.0,62.0,53.52,
178,43.0,59.0,51.88,
179,46.0,63.0,52.98,
180,47.0,65.0,53.84,
181,47.0,62.0,52.5,
182,47.0,64.0,53.84,
183,46.0,63.0,52.92,
184,47.0,61.0,52.56,
185,45.0,59.0,52.4,
186,49.0,65.0,53.52,
187,46.0,63.0,53.04,
188,47.0,61.0,53.5,
189,46.0,65.0,53.72,
190,45.0,68.0,53.68,
191,47.0,63.0,53.42,
192,46.0,60.0,52.9,
193,46.0,62.0,53.3,
194,46.0,61.0,52.56,
195,47.0,62.0,53.1,
196,46.0,63.0,52.1,
197,48.0,64.0,54.18,
198,47.0,61.0,52.82,
199,45.0,62.0,52.28,
200,47.0,60.0,53.24,
201,45.0,68.0,53.22,
202,45.0,63.0,52.96,
203,45.0,61.0,52.3,
204,47.0,72.0,53.06,
205,45.0,61.0,52.62,
206,45.0,60.0,52.72,
207,45.0,64.0,52.66,
208,46.0,62.0,52.5,
209,46.0,65.0,51.74,
210,45.0,64.0,52.68,
211,46.0,60.0,51.66,
212,46.0,59.0,52.32,
213,45.0,57.0,51.38,
214,47.0,62.0,52.06,
215,46.0,60.0,52.16,
216,47.0,60.0,53.08,
217,44.0,59.0,51.92,
218,45.0,60.0,52.76,
219,44.0,58.0,50.8,
220,43.0,58.0,50.98,
221,45.0,64.0,51.5,
222,45.0,61.0,51.72,
223,45.0,58.0,51.8,
224,46.0,60.0,52.06,
225,44.0,60.0,51.52,
226,45.0,60.0,50.98,
227,46.0,59.0,51.78,
228,47.0,61.0,51.38,
229,45.0,59.0,51.8,
230,45.0,66.0,52.2,
231,46.0,66.0,52.42,
232,44.0,64.0,50.72,
233,45.0,61.0,52.48,
234,43.0,62.0,51.88,
235,45.0,63.0,52.44,
236,45.0,58.0,51.36,
237,46.0,60.0,52.0,
238,45.0,63.0,51.64,
239,45.0,62.0,51.86,
240,45.0,57.0,50.94,
241,44.0,60.0,52.42,
242,44.0,58.0,51.5,
243,46.0,64.0,52.48,
244,45.0,60.0,51.3,
245,44.0,67.0,51.84,
246,46.0,61.0,50.9,
247,44.0,60.0,51.74,
248,44.0,58.0,51.1,
249,44.0,63.0,51.5,
250,45.0,61.0,51.38,
251,44.0,59.0,50.6,
252,45.0,58.0,50.86,
253,45.0,61.0,51.68,
254,44.0,58.0,50.76,
255,46.0,58.0,50.28,
256,44.0,68.0,51.9,
257,44.0,57.0,50.98,
258,45.0,56.0,49.92,
259,46.0,58.0,51.2,
260,45.0,68.0,51.28,
261,45.0,57.0,50.26,
262,44.0,58.0,50.28,
263,45.0,60.0,50.66,
